plot_name,accession,plot_number,block,row,rtno,rtsz,rtwt,L*1,a*1,b*1,L*2,a*2,b*2,dm
21.GS.C6.SN.Student2.IB-plant1424-TMS21F2088P0012,TMS21F1975P0034,34,1,7,6,3,0.8,86.12,0.64,18.06,86.76,0.2,17.17,35.4
21.GS.C6.SN.Student2.IB-plant34-TMS21F1975P0034,TMS21F1975P0073,73,1,8,3,5,0.8,,,,,,,
21.GS.C6.SN.Student2.IB-plant73-TMS21F1975P0073,TMS21F1975P0091,91,1,8,3,3,0.5,,,,,,,
21.GS.C6.SN.Student2.IB-plant378-TMS21F2002P0002,TMS21F1976P0008,125,1,10,3,3,0.05,,,,,,,
21.GS.C6.SN.Student2.IB-plant91-TMS21F1975P0091,TMS21F1978P0004,152,1,10,,,,,,,,,,
21.GS.C6.SN.Student2.IB-plant152-TMS21F1978P0004,TMS21F1979P0014,171,1,10,1,3,0.05,,,,,,,
21.GS.C6.SN.Student2.IB-plant171-TMS21F1979P0014,TMS21F1979P0024,181,1,11,,,,,,,,,,
21.GS.C6.SN.Student2.IB-plant181-TMS21F1979P0024,TMS21F1982P0005,216,1,11,,,,,,,,,,
21.GS.C6.SN.Student2.IB-plant921-TMS21F2046P0004,TMS21F1982P0007,218,1,11,,,,,,,,,,
21.GS.C6.SN.Student2.IB-plant216-TMS21F1982P0005,TMS21F1982P0010,221,1,11,10,5,2.45,,,,,,,
21.GS.C6.SN.Student2.IB-plant221-TMS21F1982P0010,TMS21F1982P0021,232,1,11,5,3,0.75,85.92,0.52,27.66,87.75,0.53,29,39.6
21.GS.C6.SN.Student2.IB-plant5851-TMS21F2260P0092,TMS21F1983P0003,237,1,11,5,5,1,,,,,,,
21.GS.C6.SN.Student2.IB-plant1605-TMS21F2107P0021,TMS21F1985P0001,259,1,12,4,3,0.85,86.61,0.48,23.68,85.62,0.45,23.54,40.66
21.GS.C6.SN.Student2.IB-plant1318-TMS21F2085P0009,TMS21F1987P0004,275,1,12,7,5,1.8,88.84,0.24,15.54,88.41,0.09,15.34,36.98
21.GS.C6.SN.Student2.IB-plant218-TMS21F1982P0007,TMS21F1987P0009,280,1,12,3,3,0.55,89.46,-0.2,16.71,89.46,-0.2,16.71,32.13
21.GS.C6.SN.Student2.IB-plant1513-TMS21F2094P0003,TMS21F1989P0002,286,1,12,4,3,0.4,,,,,,,
21.GS.C6.SN.Student2.IB-plant828-TMS21F2044P0010,TMS21F1990P0001,290,1,12,6,3,1.05,88.55,0.11,16.26,90.13,0.34,16.22,33.09
21.GS.C6.SN.Student2.IB-plant232-TMS21F1982P0021,TMS21F1991P0001,294,1,12,3,3,0.25,,,,,,,
21.GS.C6.SN.Student2.IB-plant1216-TMS21F2081P0002,TMS21F1991P0005,298,1,12,6,5,1.7,88.62,0.26,16.46,88.55,0.16,16.48,38.39
21.GS.C6.SN.Student2.IB-plant294-TMS21F1991P0001,TMS21F1996P0010,332,1,13,6,3,1.45,88.66,0.2,17.26,86.96,0.18,16.82,
21.GS.C6.SN.Student2.IB-plant345-TMS21F1997P0004,TMS21F1996P0018,340,1,13,6,3,0.8,86.54,0.17,15.53,86.77,0.16,14.91,35.61
21.GS.C6.SN.Student2.IB-plant933-TMS21F2048P0006,TMS21F1997P0004,345,1,13,,,,,,,,,,
