"","x"
"1","TMS21F2142P0002.A41221|||TMS21F2142P0002"
"2","TMS21F2239P0008.A41222|||TMS21F2239P0008"
"3","IITA-TMS-IBA000070.A41595|||IITA-TMS-IBA000070"
"4","IITA-TMS-IBA000070.A42684|||IITA-TMS-IBA000070"
"5","TMS21F2088P0012.A41223|||TMS21F2088P0012"
"6","TMS14F1035P0004.A41224|||TMS14F1035P0004"
"7","TMS21F2039P0003.A41225|||TMS21F2039P0003"
"8","TMS21F1985P0001.A41226|||TMS21F1985P0001"
"9","TMS21F2082P0010.A41227|||TMS21F2082P0010"
"10","TMS21F2037P0001.A41228|||TMS21F2037P0001"
"11","TMS21F2031P0037.A41229|||TMS21F2031P0037"
"12","TMS21F2006P0001.A41230|||TMS21F2006P0001"
"13","TMS13F1343P0022.A41596|||TMS13F1343P0022"
"14","TMS18F1309P0044.A41231|||TMS18F1309P0044"
"15","TMS21F2148P0003.A41232|||TMS21F2148P0003"
"16","TMS21F2133P0002.A41233|||TMS21F2133P0002"
"17","TMS21F2057P0009.A41234|||TMS21F2057P0009"
"18","TMS21F2107P0017.A41235|||TMS21F2107P0017"
"19","TMS21F2240P0016.A41236|||TMS21F2240P0016"
"20","TMS21F2248P0060.A41237|||TMS21F2248P0060"
"21","TMS21F2066P0002.A41238|||TMS21F2066P0002"
"22","TMS21F2012P0005.A41239|||TMS21F2012P0005"
"23","TMS21F2247P0030.A41240|||TMS21F2247P0030"
"24","TMS21F2081P0002.A41241|||TMS21F2081P0002"
"25","TMS15F1474P0007.A41242|||TMS15F1474P0007"
"26","TMS21F2251P0023.A41243|||TMS21F2251P0023"
"27","TMS21F2222P0004.A41244|||TMS21F2222P0004"
"28","TMS21F2207P0003.A41245|||TMS21F2207P0003"
"29","TMS21F2254P0029.A41246|||TMS21F2254P0029"
"30","TMS21F2044P0010.A41247|||TMS21F2044P0010"
"31","TMS21F2242P0064.A41248|||TMS21F2242P0064"
"32","TMS14F1306P0015.A41249|||TMS14F1306P0015"
"33","IITA-TMS-IBA070593.A42709|||IITA-TMS-IBA070593"
"34","TMS21F2042P0003.A41250|||TMS21F2042P0003"
"35","TMS21F2065P0001.A41251|||TMS21F2065P0001"
"36","TMS21F2121P0011.A41252|||TMS21F2121P0011"
"37","TMS21F2122P0003.A41253|||TMS21F2122P0003"
"38","TMS21F2056P0004.A41254|||TMS21F2056P0004"
"39","TMS21F2038P0006.A41255|||TMS21F2038P0006"
"40","TMS21F2070P0003.A41256|||TMS21F2070P0003"
"41","IITA-TMS-IBA000070.A41595|||IITA-TMS-IBA000070"
"42","IITA-TMS-IBA000070.A42684|||IITA-TMS-IBA000070"
"43","TMS21F2119P0005.A41257|||TMS21F2119P0005"
"44","TMS21F2169P0001.A41258|||TMS21F2169P0001"
"45","TMS21F2072P0006.A41259|||TMS21F2072P0006"
"46","TMS21F2059P0004.A41260|||TMS21F2059P0004"
"47","TMS21F2108P0001.A41261|||TMS21F2108P0001"
"48","TMS21F2116P0001.A41262|||TMS21F2116P0001"
"49","TMS21F2250P0106.A41263|||TMS21F2250P0106"
"50","TMS21F2186P0006.A41264|||TMS21F2186P0006"
"51","TMS21F2248P0074.A41265|||TMS21F2248P0074"
"52","TMS21F2196P0001.A41266|||TMS21F2196P0001"
"53","TMS21F2254P0066.A41267|||TMS21F2254P0066"
"54","TMS13F1343P0022.A41596|||TMS13F1343P0022"
"55","TMS21F1269P0003.A41268|||TMS21F1269P0003"
"56","TMS21F2251P0014.A41269|||TMS21F2251P0014"
"57","TMS21F2233P0004.A41270|||TMS21F2233P0004"
"58","TMS21F2130P0005.A41271|||TMS21F2130P0005"
"59","TMS21F2242P0017.A41272|||TMS21F2242P0017"
"60","TMS21F1294P0011.A41273|||TMS21F1294P0011"
"61","TMS21F2144P0003.A41274|||TMS21F2144P0003"
"62","TMS21F2232P0042.A41275|||TMS21F2232P0042"
"63","TMS21F2252P0010.A41276|||TMS21F2252P0010"
"64","TMS18F1286P0003.A41472|||TMS18F1286P0003"
"65","TMS21F2251P0003.A41278|||TMS21F2251P0003"
