TRIAL,YEAR_HARVEST,LOCATION,TRIAL_TYPE,PLOT_NAME,ACCESSION_NAME,PEDIGREE,FAMILY,DARTSEQLD,PLOT_NUMBER,BLOCK_NUMBER,IS_A_CONTROL,REP_NUMBER,RANGE_NUMBER,ROW_NUMBER,COL_NUMBER,SPROUT,SPRTCT1,SPRTCT3,VIGOR,CMD1S,CMD1I,CMD3S,MCMDS,CMD3I,MCMDI,CBB3S,CBB3I,PUBESEVERITY3,APICOL3,PETCOL3,LCOL3,LFSHP3,PLTHT1,BRNHT1,PLTHT2,BRNHT2,PLTHT3,BRNHT3,PLTHT3MAP,BRNHT3MAP,PLTHT4,PLTHT5,PLTHT6,PLTHT8MAP,PLTHT,BRNHT4,BRNHT5,BRNHT,BRNHT6,BRNHT8MAP,LVBRH4,LVBRH5,LVBRH6,LVBRH8MAP,STEMGIRTH4,STEMGIRTH5,STEMGIRTH6,STEMGIRTH8MAP,NOHAV,RTNO,RTROT,RTSZ,RTSHP,RTOUTCOL,RTINNCOL,PLPCOL,TC,NKLGT,EASEPL,SHTWT,RTWT,DM,FYLD,DYLD,HI,TYLD,L.1,A.1,B.1,L.2,A.2,B.2,L,A,B
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2142P0002_561,TMS21F2142P0002,TMS18F1420P0006/TMS18F1325P0021,TMS21F2142,,561,29,,1,,29,1,1,5,5,5,3,1,5,4,1,1,2,1,2,3,7,5,5,110,0,133,0,95,0,112.7,0,240,240,265,248.3,163.6,,,,240,240,,,1,1,0.9,0.9,1,0.9,5,15,3,3,2,3,1,1,1,3,1,7.45,1.55,42.58,3.72,1.58,0.17,17.88,88.78,0,15.7,87.54,0.01,15.44,88.16,0.01,15.57
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2239P0008_562,TMS21F2239P0008,TMS18F1015P0015/?,TMS21F2239,,562,29,,1,,29,2,1,5,5,7,1,0,1,1,0,0,2,0.6,0,5,7,5,5,85,67,73,65,75,57,77.7,63,185,165,195,181.7,116.6,65,70,64.8,75,70,1,1,2,1.3,0.9,0.6,0.9,0.8,5,29,1,5,2,3,1,1,1,3,1,13.35,6.35,39.8,15.24,6.07,0.32,32.04,87.93,-0.24,15.55,87.06,-0.24,15.35,87.5,-0.24,15.45
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_563,IITA-TMS-IBA000070,TMEB459/?,IITA-TMS-IBA000070,DARTSEQLD,563,29,1,1,,29,3,1,5,5,5,1,0,1,1,0,0,2,1,0,5,8,5,5,70,50,65,50,65,52,66.7,50.7,150,125,135,136.7,95,55,50,51.4,55,53.3,1,1,1,1,0.9,0.6,0.7,0.7,5,25,0,5,2,2,1,1,1,3,1,2.85,8.3,,19.92,,0.74,6.84,88.99,-0.21,15.52,88.55,-0.21,15.9,88.77,-0.21,15.71
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2088P0012_564,TMS21F2088P0012,TMS13F1304P0003/TMS18F1474P0007,TMS21F2088,,564,29,,1,,29,4,1,5,5,7,1,0,1,1,0,0,2,0.8,0,3,5,5,5,95,0,57,50,90,57,80.7,35.7,165,185,180,176.7,118.4,30,65,40.4,60,51.7,2,3,2,2.3,0.8,0.9,0.9,0.8,5,26,2,5,2,3,1,2,2,3,1,5.25,10.32,35.15,24.77,8.71,0.66,12.6,88.88,1.28,32.16,88.31,1.3,31.8,88.6,1.29,31.98
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS14F1035P0004_565,TMS14F1035P0004,TMS13F1095P0009/TMS13F1307P0008,TMS14F1035,DARTSEQLD,565,29,,1,,29,5,0.8,4,5,5,1,0,1,1,0,0,2,0.6,0,5,7,5,5,55,45,55,50,75,50,61.7,48.3,160,50,135,115,79,54,2,40.2,60,38.7,0.6,2,2,1.5,0.5,0.7,0.8,0.8,4,32,0,5,2,3,1,1,1,3,1,3.8,8.95,40.75,21.48,8.75,0.7,9.12,90.2,0.16,18.1,90.02,0.73,16.59,90.11,0.45,17.35
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2039P0003_566,TMS21F2039P0003,TMS18F1420P0006/TMS18F1015P0015,TMS21F2039,,566,29,,1,,29,6,1,5,5,7,1,0,1,1,0,0,2,0.6,0,7,7,5,5,90,52,95,60,60,50,81.7,54,180,210,170,186.7,127,55,65,56.4,50,56.7,3,3,2,2.7,1,1.6,0.7,1.1,5,40,3,5,2,3,1,1,1,3,1,23.9,15.3,36.51,36.72,13.41,0.39,57.36,86.23,0.08,29.95,85.46,0.1,29.49,85.85,0.09,29.72
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F1985P0001_567,TMS21F1985P0001,TMS18F1159P0011/TMS15F1100P0005,TMS21F1985,,567,29,,1,,29,7,1,5,4,5,3,1,4,3.5,1,1,2,0.3,0,9,7,5,5,70,0,70,65,80,70,73.3,45,195,235,175,201.7,130,80,75,58,50,68.3,2,3,2,2.3,0.7,1,0.8,0.9,4,,0,,,,,,,,,5.2,,,,,,12.48,,,,,,,,,
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2082P0010_568,TMS21F2082P0010,TMS18F1178P0025/TMS15F1302P0027,TMS21F2082,,568,29,,1,,29,8,0.8,4,4,3,1,0,1,1,0,0,2,0.8,0,3,7,5,5,46,0,57,0,54,0,52.3,0,115,155,155,141.7,85.4,,,,,,,,,,0.5,0.7,0.8,0.7,4,24,1,5,2,3,1,1,1,3,1,2.35,6.65,42.07,15.96,6.71,0.74,5.64,87.11,0.48,16.86,88.11,0.5,16.67,87.61,0.49,16.77
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2037P0001_569,TMS21F2037P0001,TMS15F1302P0027/TMS14F1035P0004,TMS21F2037,,569,29,,1,,29,9,0.6,3,3,3,2,1,4,3,1,1,2,0.7,0,3,7,5,5,50,35,25,0,40,35,38.3,23.3,115,95,110,106.7,65,35,25,26,40,33.3,2,2,2,2,0.7,0.5,0.8,0.7,3,11,2,5,2,2,1,1,1,3,1,2.65,5.75,38.28,13.8,5.28,0.68,6.36,89.75,0.76,28.33,89.58,0.77,28.49,89.67,0.77,28.41
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2031P0037_570,TMS21F2031P0037,TMS15F1302P0027/TMS18F1309P0044,TMS21F2031,,570,29,,1,,29,10,1,5,4,5,1,0,3,2,0.3,0.1,2,1,0,7,8,3,5,47,0,55,50,65,55,55.7,35,125,135,130,130,85.4,55,55,43,50,53.3,1,1,1,1,0.7,0.7,0.7,0.7,3,22,0,5,2,3,1,1,1,3,1,3.35,10,36.86,24,8.85,0.75,8.04,88.57,0.25,16.02,87.42,0.26,15.77,88,0.26,15.9
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS21F2006P0001_571,TMS21F2006P0001,TMS18F1331P0005/TMS15F1329P0005,TMS21F2006,,571,29,,1,,29,11,1,5,5,5,1,0,1,1,0,0,2,0.6,0,3,7,5,5,55,45,55,40,55,45,55,43.3,135,160,145,146.7,92,40,50,44,45,45,1,2,2,1.7,0.8,0.9,0.7,0.8,5,14,2,7,2,3,1,1,1,3,1,6.4,9.2,35.12,22.08,7.75,0.59,15.36,89.6,-0.23,14.64,90.03,-0.19,15.36,89.82,-0.21,15
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS13F1343P0022_572,TMS13F1343P0022,IITA-TMS-IBA970425/IITA-TMS-IBA930007,TMS13F1343,DARTSEQLD,572,29,1,1,,29,12,1,5,5,5,1,0,1,1,0,0,2,0.6,0,5,7,5,5,55,45,40,0,45,0,46.7,15,110,105,110,108.3,71,45,,,50,47.5,2,,2,2,0.6,0.6,0.6,0.6,5,28,0,5,2,3,1,1,1,3,1,4.6,11.05,,26.52,,0.71,11.04,90.7,-0.08,15.69,90.3,-0.09,15.59,90.5,-0.09,15.64
21.GS.C5.CE.STUDENT2.IB,2022,Ibadan,CET,2022-21.GS.C5.CE.1600.IB-rep1-TMS18F1309P0044_573,TMS18F1309P0044,TMS13F1307P0016/TMS13F1069P0024,TMS18F1309,DARTSEQLD,573,29,,1,,29,13,1,5,5,7,1,0,1,1,0,0,2,1,0,5,8,3,5,65,50,55,43,55,45,58.3,46,145,145,130,140,93,55,45,47.6,45,48.3,3,1,1,1.7,0.9,0.7,0.6,0.8,5,21,1,5,2,3,1,1,1,3,1,5.5,8.15,34.35,19.56,6.72,0.6,13.2,87.27,0.24,19.05,88.93,-0.15,18.77,88.1,0.05,18.91
