TRIAL,YEAR_HARVEST,LOCATION,TRIAL_TYPE,PLOT_NAME,ACCESSION_NAME,FAMILY,PEDIGREE,PRODUCT_PROFILE,PLOT_NUMBER,BLOCK_NUMBER,IS_A_CONTROL,REP_NUMBER,RANGE_NUMBER,ROW_NUMBER,COL_NUMBER,sprouting proportion|CO_334:0000008,sprout count at one-month|CO_334:0000213,sprout count at three-month|CO_334:0000214,initial vigor assessment 1-7|CO_334:0000009,cassava mosaic disease severity 1-month evaluation|CO_334:0000191,cassava mosaic disease severity 3-month evaluation|CO_334:0000192,cassava mosaic disease incidence 1-month evaluation|CO_334:0000195,cassava mosaic disease incidence 3-month evaluation|CO_334:0000196,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,cassava bacterial blight incidence 3-month evaluation|CO_334:0000178,apical pubescence visual rating 0-2|CO_334:0000309,unexpanded apical leaf color visual rating 1-9|CO_334:0000101,petiole color visual rating 1-9|CO_334:0000023,first fully expanded leaf color visual rating 1-9|CO_334:0000102,central leaf shape visual rating 1-10|CO_334:0000119,PLTHT1_6MAP,PLTHT2_6MAP,PLTHT3_6MAP,plant height measurement in cm|month 6|COMP:0000081,PLTHT1_9MAP,PLTHT2_9MAP,PLTHT3_9MAP,plant height measurement in cm|month 9|COMP:0000082,BRNHT1_6MAP,BRNHT2_6MAP,BRNHT3_6MAP,first apical branch height measurement in cm|month 6|COMP:0000083,BRNHT1_9MAP,BRNHT2_9MAP,BRNHT3_9MAP,first apical branch height measurement in cm|month 9|,STEMGIRTH1_6MAP,STEMGIRTH2_6MAP,STEMGIRTH3_6MAP,stem diameter measurement in cm|month 6|COMP:0000130,STEMGIRTH1_9MAP,STEMGIRTH2_9MAP,STEMGIRTH3_9MAP,stem diameter measurement in cm|month 9|,branching level counting|month 6|COMP:0000151,branching level counting|month 9|,plant shape visual assessment 1-4|CO_334:0000264,staygreen visual scale 1-9|CO_334:0000224,VR,proportion lodged plants in percentage|CO_334:0000094,plant stands harvested counting|CO_334:0000010,root number counting|CO_334:0000011,rotted storage root counting|CO_334:0000084,storage root size visual rating 1-7|CO_334:0000019,storage root shape visual rating 1-4|CO_334:0000020,storage root periderm color visual rating 1-4|CO_334:0000064,storage root cortex color visual rating 1-4|CO_334:0000115,storage root pulp color visual rating 1-3|CO_334:0000021,total carotenoid by chart 1-8|CO_334:0000161,root neck length visual rating 0-7|CO_334:0000022,ease of peeling root cortex visual rating 1-3|CO_334:0000308,fresh shoot weight measurement in kg|CO_334:0000016,fresh root weight|CO_334:0000012,fresh root yield|CO_334:0000013,dry matter content percentage|CO_334:0000092,dry yield|CO_334:0000014,top yield|CO_334:0000017,harvest index variable|CO_334:0000015,L.1,A.1,B.1,L.2,A.2,B.2,L chromometer value|CO_334:0002065,a chromometer value|CO_334:0002066,b chromometer value|CO_334:0002064
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F2142P0002_1,TMS21F2142P0002,TMS21F2142,TMS18F1420P0006 /TMS18F1325P0021,Seren,1,1,,1,,1,1,1,7,7,5,4,4,1,1,2,0.43,0,5,5,5,5,145,150,150,148.33,245,235,240,240,,,,Unbranched,,,,Unbranched,16.75,13.23,16.34,15.44,18.57,19.33,18.33,18.74,0,0,4,3,4,3,5,8,0,3,2,3,1,1,1,3,1,11.9,1.55,3.1,,,23.8,0.12,99.53,-1.16,17.09,95.34,-1.19,17.1,97.435,-1.175,17.095
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F2239P0008_2,TMS21F2239P0008,TMS21F2239,TMS18F1015P0015/HS,Seren,2,1,,1,,1,2,1,7,7,5,1,1,0,0,2,1,0,7,5,5,5,170,200,180,183.33,255,235,225,238.33,115,110,170,131.67,120,105,180,135,24.11,14.85,17.6,18.85,31.28,21.94,19.04,24.09,1,2,3,3,3,2,5,20,0,5,2,3,1,1,1,3,1,19.65,8.75,17.5,34.63,6.06,39.3,0.31,93.71,-0.82,17.38,93.78,-0.84,17.4,93.745,-0.83,17.39
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-IITA-TMS-IBA000070_3,IITA-TMS-IBA000070,IITA-TMS-IBA000070,TMEB459/HS,Seren,3,1,1,1,,1,3,1,7,7,7,1,1,0,0,2,0.71,1,7,9,5,5,135,120,140,131.67,220,205,225,216.67,90,80,55,75,100,85,90,91.67,19.45,23.27,24.21,22.31,25.45,25.33,25.65,25.48,1,2,1,3,3,1,5,53,0,5,2,2,1,1,1,3,1,9.95,22.75,45.5,34.01,15.47,19.9,0.7,95.43,-1.38,16.94,95.53,-1.39,17.04,95.48,-1.385,16.99
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F2088P0012_4,TMS21F2088P0012,TMS21F2088,TMS13F1304P0003/TMS18F1474P0007,Seren,4,1,,1,,1,4,1,7,7,7,1,1,0,0,2,0.71,1,3,3,5,5,105,100,110,105,215,225,200,213.33,72,50,45,55.67,80,65,55,66.67,18.8,21.9,24.05,21.58,22.37,22.36,25.98,23.57,1,3,1,3,3,3,5,68,0,3,2,3,1,1,1,3,1,8.75,14.75,29.5,34.87,10.29,17.5,0.63,94.73,-1.08,21.18,94.75,-0.98,21.19,94.74,-1.03,21.185
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS14F1035P0004_5,TMS14F1035P0004,TMS14F1035,TMS13F1095P0009/TMS13F1307P0008,Seren,5,1,,1,,1,5,0.86,6,6,5,1,1,0,0,2,1,1,5,5,5,5,220,190,195,201.67,250,255,260,255,68,40,65,57.67,70,50,75,65,25.59,25.07,31.29,27.32,31.84,28.73,36.18,32.25,3,3,1,4,4,2,5,45,0,5,2,3,1,2,3,3,1,15.45,21.95,43.9,32.85,14.42,30.9,0.59,91.69,0.16,38.75,91.5,0.14,38.34,91.595,0.15,38.545
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F2039P0003_6,TMS21F2039P0003,TMS21F2039,TMS18F1420P0006/TMS18F1015P0015,Seren,6,1,,1,,1,6,1,7,7,5,1,1,0,0,2,1,0,7,7,5,5,120,125,120,121.67,225,240,230,231.67,45,60,40,48.33,50,70,75,65,25.51,22.95,22.91,23.79,26.3,23.54,24.36,24.73,2,3,1,3,3,2,5,48,0,3,2,2,1,2,2,3,1,27.4,8,16,28.33,4.53,54.8,0.23,90.51,-0.92,31.46,90.48,-0.93,31.46,90.495,-0.925,31.46
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F1985P0001_7,TMS21F1985P0001,TMS21F1985,TMS18F1159P0011/TMS15F1100P0005,Seren,7,1,,1,,1,7,1,7,7,3,4,4,1,1,2,1,1,7,5,5,5,140,135,135,136.67,250,245,240,245,,,,Unbranched,,,,Unbranched,14.11,14.22,11.24,13.19,15.63,16.25,14.21,15.36,0,0,4,3,4,3,5,30,0,5,2,3,1,2,2,3,1,22.3,9.75,19.5,34.7,6.77,44.6,0.3,93.52,-0.81,28.52,92.37,-0.27,28.39,92.945,-0.54,28.455
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F2082P0010_8,TMS21F2082P0010,TMS21F2082,TMS18F1178P0025/TMS15F1302P0027,Seren,8,1,,1,,1,8,1,7,7,5,1,1,0,0,2,0.57,0,5,5,5,5,105,125,105,111.67,200,220,200,206.67,,35,30,32.5,,45,40,42.5,16.84,21.08,30.96,22.96,24.92,23.65,35.74,28.1,1,1,1,3,3,1,5,78,0,5,2,3,1,1,1,3,1,14.5,20.45,40.9,33.87,13.85,29,0.59,93.78,-0.77,19.52,93.82,-0.83,19.31,93.8,-0.8,19.415
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F2037P0001_9,TMS21F2037P0001,TMS21F2037,TMS15F1302P0027/TMS14F1035P0004,Seren,9,1,,1,,1,9,1,7,7,5,3,3,1,1,2,0.71,0,3,3,5,5,95,75,95,88.33,180,145,150,158.33,75,55,80,70,80,60,85,75,20.93,20.31,23.27,21.5,22.36,22.32,26.4,23.69,1,3,1,3,4,1,5,38,0,5,2,2,1,2,2,3,1,9.25,14.25,28.5,31.33,8.93,18.5,0.61,93.72,-0.39,27.29,92.88,-0.15,27.02,93.3,-0.27,27.155
22.GS.C6.STUDENT2_SEREN.CE.500.IK,2023,Ikenne,CET,22.GS.C6.STUDENT2_SEREN.CE.500.IK-rep1-TMS21F2031P0037_10,TMS21F2031P0037,TMS21F2031,TMS15F1302P0027/TMS18F1309P0044,Seren,10,1,,1,,1,10,1,7,7,7,1,3,0,0.71,2,0.71,1,7,9,3,5,95,105,110,103.33,185,175,185,181.67,,,65,65,,,70,70,25.55,25.83,29.47,26.95,26.8,27.89,30.47,28.39,1,1,4,3,3,1,5,69,0,5,2,3,1,1,1,3,1,7.9,15.3,30.6,36.31,11.11,15.8,0.66,95.75,-0.67,16,95.69,-0.67,16.01,95.72,-0.67,16.005
