plot_name,accession_name,plot_number,block,row,genotyped,open branch type,branching habit visual observation 1-4   |CO_334:0000140,presence of basal branches,basal stem diameter measurement in mm,plant height measurement in cm   |CO_334:0000018
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0118,TMS21F1975P0118,,1,10,FALSE,FALSE,2,FALSE,20.49,94
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0119,TMS21F1975P0119,,1,10,FALSE,FALSE,1,FALSE,10.61,60
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0120,TMS21F1975P0120,,1,10,TRUE,FALSE,3,FALSE,26.06,109.8
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0121,TMS21F1975P0121,,1,10,FALSE,FALSE,1,FALSE,17.5,80
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0122,TMS21F1975P0122,,1,10,TRUE,FALSE,2,FALSE,20.78,84.2
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0123,TMS21F1975P0123,,1,10,FALSE,FALSE,1,FALSE,25.44,123.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0124,TMS21F1975P0124,,1,10,FALSE,FALSE,1,FALSE,15.44,78.2
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0125,TMS21F1975P0125,,1,10,FALSE,FALSE,3,FALSE,23.47,86
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0126,TMS21F1975P0126,,1,10,TRUE,FALSE,1,FALSE,24.63,105
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0127,TMS21F1975P0127,,1,10,FALSE,FALSE,3,FALSE,20.27,105.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0128,TMS21F1975P0128,,1,10,TRUE,FALSE,2,FALSE,21.59,100
21.GS.C6.SN.Student2.IB-plantM-TMS21F1975P0129,TMS21F1975P0129,,1,10,TRUE,FALSE,2,FALSE,22.84,90.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F1980P0006,TMS21F1980P0006,,1,11,FALSE,FALSE,,FALSE,,62.4
21.GS.C6.SN.Student2.IB-plantM-TMS21F2014P0024,TMS21F2014P0024,,1,15,FALSE,FALSE,1,FALSE,15.6,98.7
21.GS.C6.SN.Student2.IB-plantM-TMS21F2038P0029,TMS21F2038P0029,,2,14,FALSE,FALSE,,FALSE,,100
21.GS.C6.SN.Student2.IB-plantM-TMS21F2039P0010,TMS21F2039P0010,,2,13,FALSE,FALSE,,FALSE,,107.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F2054P0038,TMS21F2054P0038,,2,11,FALSE,FALSE,1,FALSE,11.77,108
21.GS.C6.SN.Student2.IB-plantM-TMS21F2054P0039,TMS21F2054P0039,,2,11,FALSE,FALSE,3,FALSE,25.77,122
21.GS.C6.SN.Student2.IB-plantM-TMS21F2055P0044,TMS21F2055P0044,,2,11,FALSE,FALSE,1,FALSE,13.36,97.2
21.GS.C6.SN.Student2.IB-plantM-TMS21F2057P0015,TMS21F2057P0015,,2,10,FALSE,FALSE,1,FALSE,17.16,90
21.GS.C6.SN.Student2.IB-plantM-TMS21F2060P0010,TMS21F2060P0010,,2,10,FALSE,FALSE,,FALSE,,60.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F2072P0010,TMS21F2072P0010,,2,8,FALSE,FALSE,1,FALSE,8.91,50
21.GS.C6.SN.Student2.IB-plantM-TMS21F2082P0012,TMS21F2082P0012,,2,7,FALSE,FALSE,1,FALSE,15.39,84
21.GS.C6.SN.Student2.IB-plantM-TMS21F2090P0036,TMS21F2090P0036,,2,4,FALSE,FALSE,1,FALSE,10.57,80
21.GS.C6.SN.Student2.IB-plantM-TMS21F2090P0037,TMS21F2090P0037,,2,4,FALSE,FALSE,,FALSE,14.17,83.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F2091P0015,TMS21F2091P0015,,2,4,FALSE,FALSE,,FALSE,16.04,119
21.GS.C6.SN.Student2.IB-plantM-TMS21F2092P0021,TMS21F2092P0021,,2,3,FALSE,FALSE,3,FALSE,29.15,135
21.GS.C6.SN.Student2.IB-plantM-TMS21F2093P0015,TMS21F2093P0015,,2,3,FALSE,FALSE,3,FALSE,26.02,155
21.GS.C6.SN.Student2.IB-plantM-TMS21F2097P0017,TMS21F2097P0017,,2,3,FALSE,FALSE,1,FALSE,21.49,95
21.GS.C6.SN.Student2.IB-plantM-TMS21F2194P0007,TMS21F2194P0007,,3,6,FALSE,FALSE,,FALSE,,98
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0001,TMS21F2226P0001,,3,10,FALSE,FALSE,1,FALSE,13.27,84.4
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0002,TMS21F2226P0002,,3,10,FALSE,FALSE,3,FALSE,22.94,120.4
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0003,TMS21F2226P0003,,3,10,FALSE,FALSE,2,FALSE,17.59,111.8
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0004,TMS21F2226P0004,,3,10,FALSE,FALSE,1,FALSE,21.62,119.8
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0005,TMS21F2226P0005,,3,10,FALSE,FALSE,2,FALSE,23.96,122.3
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0006,TMS21F2226P0006,,3,10,FALSE,FALSE,1,FALSE,9.53,83.3
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0007,TMS21F2226P0007,,3,10,FALSE,FALSE,B,TRUE,22.66,127.3
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0008,TMS21F2226P0008,,3,10,FALSE,FALSE,1,FALSE,11.89,74.8
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0009,TMS21F2226P0009,,3,10,FALSE,FALSE,1,FALSE,20.09,75.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0010,TMS21F2226P0010,,3,10,FALSE,FALSE,1,FALSE,11.27,56.6
21.GS.C6.SN.Student2.IB-plantM-TMS21F2226P0011,TMS21F2226P0011,,3,10,FALSE,FALSE,1,FALSE,14.81,70.3
21.GS.C6.SN.Student2.IB-plantM-TMS21F2228P0089,TMS21F2228P0089,,3,11,FALSE,FALSE,,FALSE,11.26,69.2
21.GS.C6.SN.Student2.IB-plantM-TMS21F2231P0095,TMS21F2231P0095,,4,13,TRUE,FALSE,1,FALSE,12.52,67.6
21.GS.C6.SN.Student2.IB-plantM-TMS21F2232P0099,TMS21F2232P0099,,4,12,TRUE,FALSE,1,FALSE,14.34,77
21.GS.C6.SN.Student2.IB-plantM-TMS21F2233P0100,TMS21F2233P0100,,4,10,FALSE,FALSE,1,FALSE,9.72,67.5
21.GS.C6.SN.Student2.IB-plantM-TMS21F2239P0096,TMS21F2239P0096,,4,2,TRUE,FALSE,1,FALSE,8.85,56
21.GS.C6.SN.Student2.IB-plantM-TMS21F2241P0097,TMS21F2241P0097,,5,1,TRUE,FALSE,B,TRUE,17.45,62
21.GS.C6.SN.Student2.IB-plantM-TMS21F2247P0089,TMS21F2247P0089,,5,11,FALSE,FALSE,1,FALSE,15.96,125
21.GS.C6.SN.Student2.IB-plantM-TMS21F2249P0114,TMS21F2249P0114,,5,14,FALSE,FALSE,1,FALSE,19.39,117
21.GS.C6.SN.Student2.IB-plantM-TMS21F2094P0005,TMS21F2094P0005,,2,3,FALSE,FALSE,2,FALSE,19.65,NA
