plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant height measurement in cm |CO_334:0000018
21.GS.C6.SN.Student2.IB,,TMS21F1975P0118,1,1,,1,,,94
,,TMS21F1975P0119,2,1,,1,,,60
,,TMS21F1975P0120,3,1,,1,,,109.8
,,TMS21F1975P0121,4,1,,1,,,80
,,TMS21F1975P0122,5,1,,1,,,84.2
,,TMS21F1975P0123,6,1,,1,,,123.5
,,TMS21F1975P0124,7,1,,1,,,78.2
,,TMS21F1975P0125,8,1,,1,,,86
,,TMS21F1975P0126,9,1,,1,,,105
,,TMS21F1975P0127,10,1,,1,,,105.5
,,TMS21F1975P0128,11,1,,1,,,100
,,TMS21F1975P0129,12,,,,,,90.5
,,TMS21F1980P0006,13,1,,1,,,62.4
,,TMS21F2014P0008_2,14,1,,1,,,98.7
,,TMS21F2038P0008_2,15,1,,1,,,100
,,TMS21F2039P00010,16,1,,1,,,107.5
,,TMS21F2054P0005_2,17,1,,1,,,108
,,TMS21F2054P0021_2,18,1,,1,,,122
,,TMS21F2055P0019_2,19,1,,1,,,97.2
,,TMS21F2057P0010_2,20,1,,1,,,90
,,TMS21F2060P0003_2,21,1,,1,,,60.5
,,TMS21F2072P0006_2,22,1,,1,,,50
,,TMS21F2082P0003_2,23,1,,1,,,84
,,TMS21F2090P0003_2,24,1,,1,,,80
,,TMS21F2090P0028_2,25,1,,1,,,83.5
,,TMS21F2091P0010_2,26,1,,1,,,119
,,TMS21F2092P0015_2,27,1,,1,,,135
,,TMS21F2093P0012_2,28,1,,1,,,155
,,TMS21F2097P0007_2,29,1,,1,,,95
,,TMS21F2194P0002_2,30,1,,1,,,98
,,TMS21F2226P0001,31,1,,1,,,84.4
,,TMS21F2226P0002,32,1,,1,,,120.4
,,TMS21F2226P0003,33,1,,1,,,111.8
,,TMS21F2226P0004,34,1,,1,,,119.8
,,TMS21F2226P0005,35,1,,1,,,122.3
,,TMS21F2226P0006,36,1,,1,,,83.3
,,TMS21F2226P0007,37,1,,1,,,127.3
,,TMS21F2226P0008,38,1,,1,,,74.8
,,TMS21F2226P0009,39,1,,1,,,75.5
,,TMS21F2226P0010,40,1,,1,,,56.6
,,TMS21F2226P0011,41,1,,1,,,70.3
,,TMS21F2228P0025_2,42,1,,1,,,69.2
,,TMS21F2231P0056_2,43,1,,1,,,67.6
,,TMS21F2232P0038_2,44,1,,1,,,77
,,TMS21F2233P0078_2,45,1,,1,,,67.5
,,TMS21F2239P0040_2,46,1,,1,,,56
,,TMS21F2241P0050_2,47,1,,1,,,62
,,TMS21F2247P0010_2,48,1,,1,,,125
