plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,cassava mosaic disease incidence 3-month evaluation			|CO_334:0000196,cassava mosaic disease severity 3-month evaluation			|CO_334:0000192,petiole color visual rating 1-9			|CO_334:0000023,plant height measurement in cm			|CO_334:0000018,STE			|CO_334:0000257,apical pubescence visual rating 0-2			|CO_334:0000309,apical pubescence visual rating 0-7			|CO_334:0000026,first apical branch height measurement in cm			|CO_334:0000106,initial plant vigor assessment 1-5			|CO_334:0000220,initial vigor assessment 1-7			|CO_334:0000009,stem color visual scoring 1-4			|CO_334:0000062,Broken Stem,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0001_1,3495613,TMS21F1975P0001,1,1,,1,,,,,,73,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0002_2,3491609,TMS21F1975P0002,2,1,,1,,,,,,70,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0003_3,3491489,TMS21F1975P0003,3,1,,1,,,,,,112,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0004_4,3493343,TMS21F1975P0004,4,1,,1,,,,,,86,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0005_5,3495996,TMS21F1975P0005,5,1,,1,,,,,,126,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0006_6,3495257,TMS21F1975P0006,6,1,,1,,,,,,106,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0007_7,3493096,TMS21F1975P0007,7,1,,1,,,,,,112,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0008_8,3491022,TMS21F1975P0008,8,1,,1,,,,,,118,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0009_9,3491759,TMS21F1975P0009,9,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0010_10,3495122,TMS21F1975P0010,10,1,,1,,,,,,80,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0011_11,3496391,TMS21F1975P0011,11,1,,1,,,,,,86,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0012_12,3496151,TMS21F1975P0012,12,1,,1,,,,,,89,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0013_13,3492102,TMS21F1975P0013,13,1,,1,,,,,,85,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0014_14,3495459,TMS21F1975P0014,14,1,,1,,,,,,99,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0015_15,3491512,TMS21F1975P0015,15,1,,1,,,,,,113,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0016_16,3495664,TMS21F1975P0016,16,1,,1,,,,,,72,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0017_17,3492561,TMS21F1975P0017,17,1,,1,,,,,,72,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0018_18,3495672,TMS21F1975P0018,18,1,,1,,,,,,119,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0019_19,3493035,TMS21F1975P0019,19,1,,1,,,,,,103,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0020_20,3492169,TMS21F1975P0020,20,1,,1,,,,,,90,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0021_21,3495474,TMS21F1975P0021,21,1,,1,,,,,,93,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0022_22,3494362,TMS21F1975P0022,22,1,,1,,,,,,88,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0023_23,3495859,TMS21F1975P0023,23,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0024_24,3492199,TMS21F1975P0024,24,1,,1,,,,,,95.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0025_25,3494583,TMS21F1975P0025,25,1,,1,,,,,,110,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0026_26,3492730,TMS21F1975P0026,26,1,,1,,,,,,67.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0027_27,3493412,TMS21F1975P0027,27,1,,1,,,,,,85,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0028_28,3493959,TMS21F1975P0028,28,1,,1,,,,,,70.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0029_29,3490904,TMS21F1975P0029,29,1,,1,,,,,,61,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0030_30,3492556,TMS21F1975P0030,30,1,,1,,,,,,60,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0031_31,3492194,TMS21F1975P0031,31,1,,1,,,,,,55,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0032_32,3491717,TMS21F1975P0032,32,1,,1,,,,,,52.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0033_33,3493541,TMS21F1975P0033,33,1,,1,,,,,,59,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0034_34,3493252,TMS21F1975P0034,34,1,,1,,,,,,39.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0035_35,3494528,TMS21F1975P0035,35,1,,1,,,,,,40,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0036_36,3496629,TMS21F1975P0036,36,1,,1,,,,,,39,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0037_37,3495376,TMS21F1975P0037,37,1,,1,,,,,,6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0038_38,3492601,TMS21F1975P0038,38,1,,1,,,,,,38.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0039_39,3495523,TMS21F1975P0039,39,1,,1,,,,,,35,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0040_40,3492841,TMS21F1975P0040,40,1,,1,,,,,,35.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0041_41,3494951,TMS21F1975P0041,41,1,,1,,,,,,31.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0042_42,3495951,TMS21F1975P0042,42,1,,1,,,,,,33.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0043_43,3495840,TMS21F1975P0043,43,1,,1,,,,,,29,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0044_44,3494183,TMS21F1975P0044,44,1,,1,,,,,,36,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0045_45,3492853,TMS21F1975P0045,45,1,,1,,,,,,43.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0046_46,3491356,TMS21F1975P0046,46,1,,1,,,,,,49,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0047_47,3491460,TMS21F1975P0047,47,1,,1,,,,,,42,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0048_48,3491163,TMS21F1975P0048,48,1,,1,,,,,,35.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0049_49,3492824,TMS21F1975P0049,49,1,,1,,,,,,35.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0050_50,3494591,TMS21F1975P0050,50,1,,1,,,,,,46,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0051_51,3492218,TMS21F1975P0051,51,1,,1,,,,,,47.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0052_52,3491558,TMS21F1975P0052,52,1,,1,,,,,,45.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0053_53,3493509,TMS21F1975P0053,53,1,,1,,,,,,47.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0054_54,3491226,TMS21F1975P0054,54,1,,1,,,,,,60,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0055_55,3493552,TMS21F1975P0055,55,1,,1,,,,,,66,,,,,,,,,,,,
