plot_name,family_name,accession_name,pedigree,plot_number,block_number,is_a_control,rep_number,plant_number,vigor,cmd1s,comment
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0001_1,TMS21F1975,TMS21F1975P0001,TMS15F1329P0005/TMS14F1285P0006,1,1,,1,1,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0002_2,TMS21F1975,TMS21F1975P0002,TMS15F1329P0005/TMS14F1285P0006,2,1,,1,2,3,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0003_3,TMS21F1975,TMS21F1975P0003,TMS15F1329P0005/TMS14F1285P0006,3,1,,1,3,5,3,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0004_4,TMS21F1975,TMS21F1975P0004,TMS15F1329P0005/TMS14F1285P0006,4,1,,1,4,3,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0005_5,TMS21F1975,TMS21F1975P0005,TMS15F1329P0005/TMS14F1285P0006,5,1,,1,5,5,2,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0006_6,TMS21F1975,TMS21F1975P0006,TMS15F1329P0005/TMS14F1285P0006,6,1,,1,6,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0007_7,TMS21F1975,TMS21F1975P0007,TMS15F1329P0005/TMS14F1285P0006,7,1,,1,7,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0008_8,TMS21F1975,TMS21F1975P0008,TMS15F1329P0005/TMS14F1285P0006,8,1,,1,8,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0009_9,TMS21F1975,TMS21F1975P0009,TMS15F1329P0005/TMS14F1285P0006,9,1,,1,9,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0010_10,TMS21F1975,TMS21F1975P0010,TMS15F1329P0005/TMS14F1285P0006,10,1,,1,10,3,2,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0011_11,TMS21F1975,TMS21F1975P0011,TMS15F1329P0005/TMS14F1285P0006,11,1,,1,11,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0012_12,TMS21F1975,TMS21F1975P0012,TMS15F1329P0005/TMS14F1285P0006,12,1,,1,12,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0013_13,TMS21F1975,TMS21F1975P0013,TMS15F1329P0005/TMS14F1285P0006,13,1,,1,13,3,2,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0014_14,TMS21F1975,TMS21F1975P0014,TMS15F1329P0005/TMS14F1285P0006,14,1,,1,14,5,1,
21.GS.C6.SN.Student2.IB-rep1-TMS21F1975P0015_15,TMS21F1975,TMS21F1975P0015,TMS15F1329P0005/TMS14F1285P0006,15,1,,1,15,5,3,
