plot_name,accession_name,plot_number,block,row,genotyped,open branch type,branching habit visual observation 1-4   |CO_334:0000140,presence of basal branches,basal stem diameter measurement in mm,plant height measurement in cm   |CO_334:0000018
21.GS.C6.SN.Student2.IB-plant1-TMS21F1975P0001,TMS21F1975P0001,1,1,7,TRUE,FALSE,2,FALSE,18.58,73
21.GS.C6.SN.Student2.IB-plant2-TMS21F1975P0002,TMS21F1975P0002,2,1,7,FALSE,FALSE,1,FALSE,11.54,70
21.GS.C6.SN.Student2.IB-plant3-TMS21F1975P0003,TMS21F1975P0003,3,1,7,TRUE,FALSE,3,FALSE,25.09,112
21.GS.C6.SN.Student2.IB-plant4-TMS21F1975P0004,TMS21F1975P0004,4,1,7,FALSE,FALSE,1,FALSE,15.23,86
21.GS.C6.SN.Student2.IB-plant5-TMS21F1975P0005,TMS21F1975P0005,5,1,7,TRUE,FALSE,3,FALSE,24.17,126
21.GS.C6.SN.Student2.IB-plant6-TMS21F1975P0006,TMS21F1975P0006,6,1,7,FALSE,FALSE,1,FALSE,15.18,106
21.GS.C6.SN.Student2.IB-plant7-TMS21F1975P0007,TMS21F1975P0007,7,1,7,TRUE,FALSE,2,FALSE,22.63,112
21.GS.C6.SN.Student2.IB-plant8-TMS21F1975P0008,TMS21F1975P0008,8,1,7,FALSE,FALSE,3,FALSE,21.79,118
21.GS.C6.SN.Student2.IB-plant9-TMS21F1975P0009,TMS21F1975P0009,9,1,7,TRUE,FALSE,3,FALSE,21.84,100
21.GS.C6.SN.Student2.IB-plant10-TMS21F1975P0010,TMS21F1975P0010,10,1,7,FALSE,FALSE,3,FALSE,18.1,80
21.GS.C6.SN.Student2.IB-plant11-TMS21F1975P0011,TMS21F1975P0011,11,1,7,TRUE,FALSE,1,FALSE,17.05,86
21.GS.C6.SN.Student2.IB-plant12-TMS21F1975P0012,TMS21F1975P0012,12,1,7,FALSE,FALSE,3,FALSE,21.13,89
21.GS.C6.SN.Student2.IB-plant13-TMS21F1975P0013,TMS21F1975P0013,13,1,7,TRUE,FALSE,1,FALSE,16.29,85
21.GS.C6.SN.Student2.IB-plant14-TMS21F1975P0014,TMS21F1975P0014,14,1,7,FALSE,FALSE,1,FALSE,21.72,99
21.GS.C6.SN.Student2.IB-plant15-TMS21F1975P0015,TMS21F1975P0015,15,1,7,TRUE,FALSE,3,FALSE,24.85,113
21.GS.C6.SN.Student2.IB-plant16-TMS21F1975P0016,TMS21F1975P0016,16,1,7,FALSE,FALSE,1,FALSE,14,72
21.GS.C6.SN.Student2.IB-plant17-TMS21F1975P0017,TMS21F1975P0017,17,1,7,FALSE,FALSE,1,FALSE,10.93,72
21.GS.C6.SN.Student2.IB-plant18-TMS21F1975P0018,TMS21F1975P0018,18,1,7,TRUE,FALSE,2,FALSE,22.75,119
21.GS.C6.SN.Student2.IB-plant19-TMS21F1975P0019,TMS21F1975P0019,19,1,7,FALSE,FALSE,1,FALSE,18.28,103
21.GS.C6.SN.Student2.IB-plant20-TMS21F1975P0020,TMS21F1975P0020,20,1,7,TRUE,FALSE,2,FALSE,17.73,90
21.GS.C6.SN.Student2.IB-plant21-TMS21F1975P0021,TMS21F1975P0021,21,1,7,FALSE,FALSE,1,FALSE,16.48,93
21.GS.C6.SN.Student2.IB-plant22-TMS21F1975P0022,TMS21F1975P0022,22,1,7,TRUE,FALSE,2,FALSE,22.11,88
21.GS.C6.SN.Student2.IB-plant23-TMS21F1975P0023,TMS21F1975P0023,23,1,7,FALSE,FALSE,B,TRUE,23.07,100
21.GS.C6.SN.Student2.IB-plant24-TMS21F1975P0024,TMS21F1975P0024,24,1,7,TRUE,FALSE,2,FALSE,16.5,95.5
21.GS.C6.SN.Student2.IB-plant25-TMS21F1975P0025,TMS21F1975P0025,25,1,7,FALSE,FALSE,2,FALSE,20.16,110
21.GS.C6.SN.Student2.IB-plant26-TMS21F1975P0026,TMS21F1975P0026,26,1,7,TRUE,FALSE,1,FALSE,13.55,67.5
21.GS.C6.SN.Student2.IB-plant27-TMS21F1975P0027,TMS21F1975P0027,27,1,7,FALSE,FALSE,3,FALSE,16.59,85
