plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,sprout,vigor,cmd1s,cmd1i
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2142P0002_561,TMS21F2142P0002,561,15,,1,29,1,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2239P0008_562,TMS21F2239P0008,562,15,,1,29,2,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-IITA-TMS-IBA000070_563,IITA-TMS-IBA000070,563,15,1,1,29,3,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2088P0012_564,TMS21F2088P0012,564,15,,1,29,4,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS14F1035P0004_565,TMS14F1035P0004,565,15,,1,29,5,4,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2039P0003_566,TMS21F2039P0003,566,15,,1,29,6,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F1985P0001_567,TMS21F1985P0001,567,15,,1,29,7,5,5,3,5
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2082P0010_568,TMS21F2082P0010,568,15,,1,29,8,4,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2037P0001_569,TMS21F2037P0001,569,15,,1,29,9,3,3,2,3
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2031P0037_570,TMS21F2031P0037,570,15,,1,29,10,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2006P0001_571,TMS21F2006P0001,571,15,,1,29,11,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS13F1343P0022_572,TMS13F1343P0022,572,15,1,1,29,12,5,5,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS18F1309P0044_573,TMS18F1309P0044,573,15,,1,29,13,5,7,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2148P0003_574,TMS21F2148P0003,574,15,,1,29,14,4,3,3,2
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2133P0002_575,TMS21F2133P0002,575,15,,1,29,15,5,3,1,0
2022-21.GS.C5.CE.1060.IB-rep1-TMS21F2057P0009_576,TMS21F2057P0009,576,15,,1,29,16,5,7,2,1
