plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,range_number,row_number,col_number,seedlot_name,num_seed_per_plot,weight_gram_seed_per_plot
21.GS.C6.SN.Student2.IB-plant1-TMS21F1975P0001,TMS21F1975P0001,1,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant2-TMS21F1975P0002,TMS21F1975P0002,2,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant3-TMS21F1975P0003,TMS21F1975P0003,3,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant4-TMS21F1975P0004,TMS21F1975P0004,4,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant5-TMS21F1975P0005,TMS21F1975P0005,5,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant6-TMS21F1975P0006,TMS21F1975P0006,6,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant7-TMS21F1975P0007,TMS21F1975P0007,7,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant8-TMS21F1975P0008,TMS21F1975P0008,8,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant9-TMS21F1975P0009,TMS21F1975P0009,9,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant10-TMS21F1975P0010,TMS21F1975P0010,10,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant11-TMS21F1975P0011,TMS21F1975P0011,11,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant12-TMS21F1975P0012,TMS21F1975P0012,12,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant13-TMS21F1975P0013,TMS21F1975P0013,13,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant14-TMS21F1975P0014,TMS21F1975P0014,14,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant15-TMS21F1975P0015,TMS21F1975P0015,15,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant16-TMS21F1975P0016,TMS21F1975P0016,16,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant17-TMS21F1975P0017,TMS21F1975P0017,17,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant18-TMS21F1975P0018,TMS21F1975P0018,18,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant19-TMS21F1975P0019,TMS21F1975P0019,19,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant20-TMS21F1975P0020,TMS21F1975P0020,20,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant21-TMS21F1975P0021,TMS21F1975P0021,21,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant22-TMS21F1975P0022,TMS21F1975P0022,22,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant23-TMS21F1975P0023,TMS21F1975P0023,23,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant24-TMS21F1975P0024,TMS21F1975P0024,24,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant25-TMS21F1975P0025,TMS21F1975P0025,25,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant26-TMS21F1975P0026,TMS21F1975P0026,26,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant27-TMS21F1975P0027,TMS21F1975P0027,27,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant28-TMS21F1975P0028,TMS21F1975P0028,28,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant29-TMS21F1975P0029,TMS21F1975P0029,29,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant30-TMS21F1975P0030,TMS21F1975P0030,30,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant31-TMS21F1975P0031,TMS21F1975P0031,31,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant32-TMS21F1975P0032,TMS21F1975P0032,32,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant33-TMS21F1975P0033,TMS21F1975P0033,33,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant34-TMS21F1975P0034,TMS21F1975P0034,34,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant35-TMS21F1975P0035,TMS21F1975P0035,35,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant36-TMS21F1975P0036,TMS21F1975P0036,36,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant37-TMS21F1975P0037,TMS21F1975P0037,37,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant38-TMS21F1975P0038,TMS21F1975P0038,38,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant39-TMS21F1975P0039,TMS21F1975P0039,39,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant40-TMS21F1975P0040,TMS21F1975P0040,40,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant41-TMS21F1975P0041,TMS21F1975P0041,41,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant42-TMS21F1975P0042,TMS21F1975P0042,42,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant43-TMS21F1975P0043,TMS21F1975P0043,43,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant44-TMS21F1975P0044,TMS21F1975P0044,44,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant45-TMS21F1975P0045,TMS21F1975P0045,45,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant46-TMS21F1975P0046,TMS21F1975P0046,46,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant47-TMS21F1975P0047,TMS21F1975P0047,47,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant48-TMS21F1975P0048,TMS21F1975P0048,48,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant49-TMS21F1975P0049,TMS21F1975P0049,49,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant50-TMS21F1975P0050,TMS21F1975P0050,50,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant51-TMS21F1975P0051,TMS21F1975P0051,51,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant52-TMS21F1975P0052,TMS21F1975P0052,52,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant53-TMS21F1975P0053,TMS21F1975P0053,53,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant54-TMS21F1975P0054,TMS21F1975P0054,54,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant55-TMS21F1975P0055,TMS21F1975P0055,55,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant56-TMS21F1975P0056,TMS21F1975P0056,56,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant57-TMS21F1975P0057,TMS21F1975P0057,57,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant58-TMS21F1975P0058,TMS21F1975P0058,58,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant59-TMS21F1975P0059,TMS21F1975P0059,59,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant60-TMS21F1975P0060,TMS21F1975P0060,60,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant61-TMS21F1975P0061,TMS21F1975P0061,61,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant62-TMS21F1975P0062,TMS21F1975P0062,62,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant63-TMS21F1975P0063,TMS21F1975P0063,63,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant64-TMS21F1975P0064,TMS21F1975P0064,64,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant65-TMS21F1975P0065,TMS21F1975P0065,65,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant66-TMS21F1975P0066,TMS21F1975P0066,66,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant67-TMS21F1975P0067,TMS21F1975P0067,67,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant68-TMS21F1975P0068,TMS21F1975P0068,68,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant69-TMS21F1975P0069,TMS21F1975P0069,69,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant70-TMS21F1975P0070,TMS21F1975P0070,70,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant71-TMS21F1975P0071,TMS21F1975P0071,71,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant72-TMS21F1975P0072,TMS21F1975P0072,72,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant73-TMS21F1975P0073,TMS21F1975P0073,73,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant74-TMS21F1975P0074,TMS21F1975P0074,74,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant75-TMS21F1975P0075,TMS21F1975P0075,75,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant76-TMS21F1975P0076,TMS21F1975P0076,76,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant77-TMS21F1975P0077,TMS21F1975P0077,77,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant78-TMS21F1975P0078,TMS21F1975P0078,78,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant79-TMS21F1975P0079,TMS21F1975P0079,79,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant80-TMS21F1975P0080,TMS21F1975P0080,80,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant81-TMS21F1975P0081,TMS21F1975P0081,81,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant82-TMS21F1975P0082,TMS21F1975P0082,82,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant83-TMS21F1975P0083,TMS21F1975P0083,83,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant84-TMS21F1975P0084,TMS21F1975P0084,84,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant85-TMS21F1975P0085,TMS21F1975P0085,85,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant86-TMS21F1975P0086,TMS21F1975P0086,86,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant87-TMS21F1975P0087,TMS21F1975P0087,87,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant88-TMS21F1975P0088,TMS21F1975P0088,88,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant89-TMS21F1975P0089,TMS21F1975P0089,89,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant90-TMS21F1975P0090,TMS21F1975P0090,90,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant91-TMS21F1975P0091,TMS21F1975P0091,91,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant92-TMS21F1975P0092,TMS21F1975P0092,92,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant93-TMS21F1975P0093,TMS21F1975P0093,93,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant94-TMS21F1975P0094,TMS21F1975P0094,94,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant95-TMS21F1975P0095,TMS21F1975P0095,95,1,,1,,,,,,
21.GS.C6.SN.Student2.IB-plant96-TMS21F1975P0096,TMS21F1975P0096,96,1,,1,,,,,,
