date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/7/21,Plate 1,Seren Plate 1,Plate 1_A01,A01,01A,21.GS.C6.SN.Student2.IB-plant1-TMS21F1975P0001,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B01,B01,01B,21.GS.C6.SN.Student2.IB-plant3-TMS21F1975P0003,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C01,C01,01C,21.GS.C6.SN.Student2.IB-plant5-TMS21F1975P0005,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D01,D01,01D,7,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E01,E01,01E,21.GS.C6.SN.Student2.IB-plant9-TMS21F1975P0009,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F01,F01,01F,21.GS.C6.SN.Student2.IB-plant11-TMS21F1975P0011,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G01,G01,01G,21.GS.C6.SN.Student2.IB-plant13-TMS21F1975P0013,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H01,H01,01H,21.GS.C6.SN.Student2.IB-plant15-TMS21F1975P0015,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A02,A02,02A,21.GS.C6.SN.Student2.IB-plant18-TMS21F1975P0018,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B02,B02,02B,21.GS.C6.SN.Student2.IB-plant20-TMS21F1975P0020,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C02,C02,02C,21.GS.C6.SN.Student2.IB-plant22-TMS21F1975P0022,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D02,D02,02D,21.GS.C6.SN.Student2.IB-plant24-TMS21F1975P0024,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E02,E02,02E,21.GS.C6.SN.Student2.IB-plant26-TMS21F1975P0026,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F02,F02,02F,21.GS.C6.SN.Student2.IB-plant28-TMS21F1975P0028,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G02,G02,02G,21.GS.C6.SN.Student2.IB-plant30-TMS21F1975P0030,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H02,H02,02H,21.GS.C6.SN.Student2.IB-plant32-TMS21F1975P0032,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A03,A03,03A,21.GS.C6.SN.Student2.IB-plant34-TMS21F1975P0034,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B03,B03,03B,21.GS.C6.SN.Student2.IB-plant36-TMS21F1975P0036,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C03,C03,03C,21.GS.C6.SN.Student2.IB-plant38-TMS21F1975P0038,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D03,D03,03D,21.GS.C6.SN.Student2.IB-plant40-TMS21F1975P0040,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E03,E03,03E,21.GS.C6.SN.Student2.IB-plant42-TMS21F1975P0042,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F03,F03,03F,21.GS.C6.SN.Student2.IB-plant44-TMS21F1975P0044,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G03,G03,03G,47,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H03,H03,03H,21.GS.C6.SN.Student2.IB-plant50-TMS21F1975P0050,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A04,A04,04A,21.GS.C6.SN.Student2.IB-plant52-TMS21F1975P0052,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B04,B04,04B,21.GS.C6.SN.Student2.IB-plant54-TMS21F1975P0054,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C04,C04,04C,21.GS.C6.SN.Student2.IB-plant56-TMS21F1975P0056,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D04,D04,04D,21.GS.C6.SN.Student2.IB-plant58-TMS21F1975P0058,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E04,E04,04E,21.GS.C6.SN.Student2.IB-plant59-TMS21F1975P0059,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F04,F04,04F,21.GS.C6.SN.Student2.IB-plant60-TMS21F1975P0060,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G04,G04,04G,21.GS.C6.SN.Student2.IB-plant62-TMS21F1975P0062,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H04,H04,04H,21.GS.C6.SN.Student2.IB-plant64-TMS21F1975P0064,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A05,A05,05A,21.GS.C6.SN.Student2.IB-plant66-TMS21F1975P0066,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B05,B05,05B,21.GS.C6.SN.Student2.IB-plant68-TMS21F1975P0068,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C05,C05,05C,21.GS.C6.SN.Student2.IB-plant70-TMS21F1975P0070,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D05,D05,05D,21.GS.C6.SN.Student2.IB-plant72-TMS21F1975P0072,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E05,E05,05E,21.GS.C6.SN.Student2.IB-plant74-TMS21F1975P0074,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F05,F05,05F,21.GS.C6.SN.Student2.IB-plant75-TMS21F1975P0075,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G05,G05,05G,21.GS.C6.SN.Student2.IB-plant78-TMS21F1975P0078,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H05,H05,05H,21.GS.C6.SN.Student2.IB-plant80-TMS21F1975P0080,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A06,A06,06A,21.GS.C6.SN.Student2.IB-plant82-TMS21F1975P0082,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B06,B06,06B,84,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C06,C06,06C,21.GS.C6.SN.Student2.IB-plant85-TMS21F1975P0085,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D06,D06,06D,21.GS.C6.SN.Student2.IB-plant87-TMS21F1975P0087,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E06,E06,06E,21.GS.C6.SN.Student2.IB-plant89-TMS21F1975P0089,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F06,F06,06F,21.GS.C6.SN.Student2.IB-plant91-TMS21F1975P0091,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G06,G06,06G,21.GS.C6.SN.Student2.IB-plant93-TMS21F1975P0093,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H06,H06,06H,21.GS.C6.SN.Student2.IB-plant95-TMS21F1975P0095,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A07,A07,07A,21.GS.C6.SN.Student2.IB-plant97-TMS21F1975P0097,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B07,B07,07B,21.GS.C6.SN.Student2.IB-plant99-TMS21F1975P0099,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C07,C07,07C,21.GS.C6.SN.Student2.IB-plant100-TMS21F1975P0100,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D07,D07,07D,21.GS.C6.SN.Student2.IB-plant102-TMS21F1975P0102,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E07,E07,07E,21.GS.C6.SN.Student2.IB-plant104-TMS21F1975P0104,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F07,F07,07F,21.GS.C6.SN.Student2.IB-plant106-TMS21F1975P0106,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G07,G07,07G,21.GS.C6.SN.Student2.IB-plant108-TMS21F1975P0108,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H07,H07,07H,21.GS.C6.SN.Student2.IB-plant110-TMS21F1975P0110,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A08,A08,08A,21.GS.C6.SN.Student2.IB-plant112-TMS21F1975P0112,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B08,B08,08B,21.GS.C6.SN.Student2.IB-plant113-TMS21F1975P0113,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C08,C08,08C,21.GS.C6.SN.Student2.IB-plant114-TMS21F1975P0114,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D08,D08,08D,21.GS.C6.SN.Student2.IB-plant115-TMS21F1975P0115,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E08,E08,08E,21.GS.C6.SN.Student2.IB-plant116-TMS21F1975P0116,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F08,F08,08F,21.GS.C6.SN.Student2.IB-plant117-TMS21F1975P0117,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G08,G08,08G,TMS21F1975P0120,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H08,H08,08H,TMS21F1975P0122,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A09,A09,09A,TMS21F1975P0126,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B09,B09,09B,TMS21F1975P0128,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C09,C09,09C,TMS21F1975P0129,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_D09,D09,09D,21.GS.C6.SN.Student2.IB-plant118-TMS21F1976P0001,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_E09,E09,09E,120,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_F09,F09,09F,21.GS.C6.SN.Student2.IB-plant123-TMS21F1976P0006,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_G09,G09,09G,21.GS.C6.SN.Student2.IB-plant125-TMS21F1976P0008,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_H09,H09,09H,21.GS.C6.SN.Student2.IB-plant126-TMS21F1976P0009,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_A10,A10,10A,21.GS.C6.SN.Student2.IB-plant128-TMS21F1976P0011,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_B10,B10,10B,21.GS.C6.SN.Student2.IB-plant130-TMS21F1976P0013,ruth,,Leaf,CTAB
7/7/21,Plate 1,Seren Plate 1,Plate 1_C10,C10,10C,21.GS.C6.SN.Student2.IB-plant132-TMS21F1976P0015,ruth,,Leaf,CTAB
