date,plate_id,plate_name,sample_id,well_A01,well_01A,tissue_id,dna_person,notes,tissue_type,extraction
7/8/21,plate 12,Seren Plate 12,plate 12_A01,A01,01A,1970,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B01,B01,01B,1971,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C01,C01,01C,1972,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D01,D01,01D,1974,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E01,E01,01E,1976,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F01,F01,01F,1978,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G01,G01,01G,1980,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H01,H01,01H,1984,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A02,A02,02A,1986,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B02,B02,02B,1987,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C02,C02,02C,1990,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D02,D02,02D,1992,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E02,E02,02E,1995,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F02,F02,02F,1997,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G02,G02,02G,1999,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H02,H02,02H,2001,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A03,A03,03A,2003,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B03,B03,03B,2005,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C03,C03,03C,2007,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D03,D03,03D,2010,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E03,E03,03E,2011,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F03,F03,03F,2013,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G03,G03,03G,2015,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H03,H03,03H,2017,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A04,A04,04A,2018,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B04,B04,04B,2020,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C04,C04,04C,2021,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D04,D04,04D,2025,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E04,E04,04E,2028,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F04,F04,04F,2029,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G04,G04,04G,2031,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H04,H04,04H,2033,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A05,A05,05A,2034,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B05,B05,05B,2036,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C05,C05,05C,2037,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D05,D05,05D,2039,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E05,E05,05E,2041,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F05,F05,05F,2042,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G05,G05,05G,2044,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H05,H05,05H,2046,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A06,A06,06A,2048,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B06,B06,06B,2049,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C06,C06,06C,2051,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D06,D06,06D,2053,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E06,E06,06E,2055,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F06,F06,06F,2058,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G06,G06,06G,2059,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H06,H06,06H,2060,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A07,A07,07A,2066,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B07,B07,07B,2068,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C07,C07,07C,2069,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D07,D07,07D,2071,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E07,E07,07E,2074,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F07,F07,07F,2075,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G07,G07,07G,2076,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H07,H07,07H,2078,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A08,A08,08A,2080,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B08,B08,08B,2083,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C08,C08,08C,2085,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D08,D08,08D,2088,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E08,E08,08E,2091,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F08,F08,08F,2092,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_G08,G08,08G,2093,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_H08,H08,08H,2095,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_A09,A09,09A,2096,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_B09,B09,09B,2098,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_C09,C09,09C,2099,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_D09,D09,09D,2101,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_E09,E09,09E,2102,seren,,Leaf,CTAB
7/8/21,plate 12,Seren Plate 12,plate 12_F09,F09,09F,2103,seren,,Leaf,CTAB
