progeny	female_parent	male_parent
TMS21F1975P0001	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0002	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0003	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0004	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0005	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0006	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0007	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0008	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0009	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0010	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0011	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0012	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0013	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0014	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0015	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0016	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0017	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0018	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0019	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0020	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0021	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0022	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0023	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0024	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0025	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0026	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0027	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0028	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0029	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0030	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0031	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0032	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0033	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0034	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0035	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0036	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0037	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0038	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0039	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0040	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0041	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0042	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0043	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0044	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0045	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0046	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0047	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0048	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0049	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0050	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0051	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0052	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0053	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0054	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0055	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0056	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0057	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0058	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0059	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0060	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0061	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0062	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0063	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0064	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0065	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0066	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0067	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0068	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0069	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0070	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0071	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0072	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0073	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0074	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0075	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0076	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0077	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0078	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0079	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0080	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0081	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0082	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0083	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0084	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0085	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0086	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0087	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0088	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0089	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0090	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0091	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0092	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0093	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0094	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0095	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0096	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0097	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0098	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0099	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0100	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0101	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0102	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0103	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0104	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0105	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0106	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0107	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0108	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0109	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0110	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0111	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0112	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0113	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0114	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0115	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0116	TMS15F1329P0005	TMS14F1285P0006
TMS21F1975P0117	TMS15F1329P0005	TMS14F1285P0006
TMS21F1976P0001	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0002	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0003	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0004	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0005	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0006	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0007	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0008	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0009	TMS15F1329P0005	TMS15F1100P0005
TMS21F1976P0010	TMS15F1329P0005	TMS15F1100P0005
