plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,range_number,row_number,col_number
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1467P0011_101,TMS15F1467P0011,101,1,,1,,1,1
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS13F1307P0008_102,TMS13F1307P0008,102,1,,1,,1,2
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS16F2006P0038_103,TMS16F2006P0038,103,1,,1,,1,3
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS16F2003P0029_104,TMS16F2003P0029,104,1,,1,,1,4
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1466P0195_105,TMS15F1466P0195,105,1,,1,,1,5
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-IITA-TMS-IBA30572_106,IITA-TMS-IBA30572,106,1,1,1,,1,6
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1279P0006_107,TMS15F1279P0006,107,1,,1,,2,6
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1041P0003_108,TMS15F1041P0003,108,1,,1,,2,5
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-IITA-TMS-IBA980581_109,IITA-TMS-IBA980581,109,1,1,1,,2,4
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1482P0098_110,TMS15F1482P0098,110,1,,1,,2,3
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS14F1035P0004_111,TMS14F1035P0004,111,1,1,1,,2,2
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1302P0020_112,TMS15F1302P0020,112,1,,1,,2,1
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS16F2005P0007_113,TMS16F2005P0007,113,1,,1,,3,1
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1329P0005_114,TMS15F1329P0005,114,1,,1,,3,2
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS13F1160P0004_115,TMS13F1160P0004,115,1,1,1,,3,3
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS15F1463P0054_116,TMS15F1463P0054,116,1,,1,,3,4
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS13F1307P0004_117,TMS13F1307P0004,117,1,,1,,3,5
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-TMS13F1306P1003_118,TMS13F1306P1003,118,1,,1,,3,6
2021-20.GS.C1.C2.C3.UYT.30.UB-rep1-IITA-TMS-IBA982101_119,IITA-TMS-IBA982101,119,1,1,1,,4,6
