plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,range_number,row_number,col_number
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1175P0039_101,TMS18F1175P0039,101,1,,1,1,1,1
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1352P0015_102,TMS18F1352P0015,102,1,,1,1,1,2
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1353P0033_103,TMS18F1353P0033,103,1,,1,1,1,3
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1436P0041_104,TMS18F1436P0041,104,1,,1,1,1,4
2021-20.GS.C4B.AYT.40.UB-rep1-TMS14F1310P0015_105,TMS14F1310P0015,105,1,1,1,1,1,5
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1336P0029_106,TMS18F1336P0029,106,1,,1,1,1,6
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1481P0029_107,TMS18F1481P0029,107,1,,1,1,1,7
2021-20.GS.C4B.AYT.40.UB-rep1-TMS14F1285P0017_108,TMS14F1285P0017,108,1,1,1,1,1,8
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1472P0039_109,TMS18F1472P0039,109,1,,1,1,1,9
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1481P0046_110,TMS18F1481P0046,110,1,,1,1,1,10
2021-20.GS.C4B.AYT.40.UB-rep1-IITA-TMS-IBA000070_111,IITA-TMS-IBA000070,111,1,1,1,1,2,10
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1280P0153_112,TMS18F1280P0153,112,1,,1,1,2,9
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1562P0004_113,TMS18F1562P0004,113,1,,1,1,2,8
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1328P0034_114,TMS18F1328P0034,114,1,,1,1,2,7
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1331P0005_115,TMS18F1331P0005,115,1,,1,1,2,6
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1339P0034_116,TMS18F1339P0034,116,1,,1,1,2,5
2021-20.GS.C4B.AYT.40.UB-rep1-TMS13F1160P0004_117,TMS13F1160P0004,117,1,1,1,1,2,4
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1051P0039_118,TMS18F1051P0039,118,1,,1,1,2,3
2021-20.GS.C4B.AYT.40.UB-rep1-TMS13F1343P0044_119,TMS13F1343P0044,119,1,1,1,1,2,2
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1309P0044_120,TMS18F1309P0044,120,1,,1,1,2,1
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1306P0230_121,TMS18F1306P0230,121,1,,1,1,3,1
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1310P0081_122,TMS18F1310P0081,122,1,,1,1,3,2
2021-20.GS.C4B.AYT.40.UB-rep1-TMS18F1352P0043_123,TMS18F1352P0043,123,1,,1,1,3,3
