sn,Female,Female_grp,Male,Male_grp,Seed_no
1,TMS15F1329P0005,B ,TMS14F1285P0006,A ,151
2,TMS15F1329P0005,B ,TMS15F1100P0005,A ,35
3,TMS15F1329P0005,B ,TMS14F1285P0017,A ,7
4,TMS18F1163P0020,B ,TMS14F1285P0017,A ,13
5,TMS18F1163P0020,B ,TMS14F1285P0006,A ,44
6,TMS18F1163P0020,B ,TMS15F1100P0005,A ,6
7,TMS18F1286P0003,B ,TMS15F1100P0005,A ,49
8,TMS18F1286P0003,B ,TMS14F1285P0006,A ,33
9,TMS18F1033P0018,B ,TMS15F1100P0005,A ,36
10,TMS18F1033P0018,B ,TMS14F1285P0006,A ,10
11,TMS18F1159P0011,B ,TMS15F1100P0005,A ,13
12,TMS18F1159P0011,B ,TMS14F1285P0006,A ,9
13,TMS15F1279P0006,B ,TMS14F1285P0006,A ,6
14,TMS15F1279P0006,B ,TMS15F1100P0005,A ,7
15,TMS18F1562P0004,C ,TMS15F1329P0005,B ,10
16,TMS18F1562P0004,C ,TMS18F1033P0018,B ,5
17,TMS18F1562P0004,C ,TMS14F1285P0006,A ,15
18,TMS18F1562P0004,C ,TMS15F1279P0006,B ,1
19,TMS18F1562P0004,C ,TMS15F1100P0005,A ,1
20,TMS18F1539P0086,C ,TMS15F1100P0005,A ,16
21,TMS18F1539P0086,C ,TMS15F1329P0005,B ,6
22,TMS18F1539P0086,C ,TMS14F1285P0006,A ,4
23,TMS18F1539P0086,C ,TMS18F1033P0018,B ,8
24,TMS18F1539P0086,C ,TMS14F1285P0017,A ,24
25,TMS18F1539P0086,C ,TMS18F1163P0020,B ,1
26,TMS18F1419P0037,C ,TMS14F1285P0006,A ,37
27,TMS18F1419P0037,C ,TMS15F1329P0005,B ,33
28,TMS18F1419P0037,C ,TMS18F1163P0020,B ,8
29,TMS18F1419P0037,C ,TMS18F1269P0003,B ,8
30,TMS18F1419P0037,C ,TMS15F1100P0005,A ,15
31,TMS18F1419P0037,C ,TMS18F1033P0018,B ,32
32,TMS18F1331P0005,C ,TMS14F1285P0017,A ,1
33,TMS18F1331P0005,C ,TMS18F1159P0011,B ,1
34,TMS18F1331P0005,C ,TMS18F1269P0003,B ,5
35,TMS18F1331P0005,C ,TMS18F1286P0003,B ,2
36,TMS18F1331P0005,C ,TMS15F1329P0005,B ,13
37,TMS18F1331P0005,C ,TMS18F1033P0018,B ,2
38,TMS18F1331P0005,C ,TMS14F1285P0006,A ,16
39,TMS18F1331P0005,C ,TMS15F1100P0005,A ,18
40,TMS18F1481P0029,C ,TMS18F1033P0018,B ,33
41,TMS18F1481P0029,C ,TMS18F1269P0003,B ,11
42,TMS18F1481P0029,C ,TMS18F1159P0011,B ,5
43,TMS18F1481P0029,C ,TMS15F1329P0005,B ,28
44,TMS18F1481P0029,C ,TMS14F1285P0006,A ,47
45,TMS18F1481P0029,C ,TMS15F1100P0005,A ,23
46,TMS18F1327P0021,C ,TMS15F1279P0006,B ,3
47,TMS18F1327P0021,C ,TMS14F1285P0006,A ,53
48,TMS18F1327P0021,C ,TMS18F1269P0003,B ,4
49,TMS18F1327P0021,C ,TMS18F1033P0018,B ,14
50,TMS18F1327P0021,C ,TMS15F1100P0005,A ,26
51,TMS18F1327P0021,C ,TMS15F1329P0005,B ,18
52,TMS18F1298P0026,C ,TMS18F1033P0018,B ,2
53,TMS18F1298P0026,C ,TMS15F1329P0005,B ,3
54,TMS18F1298P0026,C ,TMS14F1285P0006,A ,8
