"","x"
"1","TMS14F1306P0015"
"2","TMS14F1035P0004"
"3","TMS15F1100P0005"
"4","TMS15F1279P0006"
"5","TMS15F1302P0020"
"6","TMS15F1302P0027"
"7","TMS15F1329P0005"
"8","TMS15F1474P0007"
"9","TMS14F1285P0017"
"10","TMS13F1304P0003"
"11","TMS14F1285P0006"
"12","TMS15F1394P0007"
"13","TMS18F1051P0039"
"14","TMS18F1095P0041"
"15","TMS18F1157P0033"
"16","TMS18F1178P0025"
"17","TMS18F1309P0044"
"18","TMS18F1327P0021"
"19","TMS18F1331P0005"
"20","TMS18F1419P0037"
"21","TMS18F1420P0006"
"22","TMS18F1481P0029"
"23","TMS18F1539P0086"
"24","TMS18F1562P0004"
"25","TMS18F1015P0015"
"26","TMS18F1033P0018"
"27","TMS18F1047P0024"
"28","TMS18F1159P0011"
"29","TMS18F1163P0020"
"30","TMS18F1269P0003"
"31","TMS18F1279P0006"
"32","TMS18F1286P0003"
"33","TMS18F1288P0003"
"34","TMS18F1289P0004"
"35","TMS18F1294P0011"
"36","TMS18F1298P0026"
"37","TMS18F1299P0012"
"38","IITA-TMS-IBA070536"
"39","IITA-TMS-IBA051599"
"40","IITA-TMS-IBA051601"
"41","IITA-TMS-IBA051632"
"42","IITA-TMS-IBA090091"
"43","IITA-TMS-IBA000070"
"44","IITA-TMS-IBA090454"
"45","IITA-TMS-IBA011231"
"46","TMEB419"
"47","IITA-TMS-IBA061101"
"48","IITA-TMS-MM972346"
"49","IITA-TMS-IBA102103"
"50","IITA-TMS-IBA083724"
"51","IITA-TMS-ZAR010116"
"52","IITA-TMS-IBA090485"
"53","IITA-TMS-IBA070064"
"54","IITA-TMS-IBA030006A"
"55","TMEB693"
"56","IITA-TMS-IBA950925"
"57","IITA-TMS-IBA090576"
"58","IITA-TMS-IBA980581"
"59","IITA-TMS-IBA051652"
"60","IITA-TMS-MM990302"
"61","KALESO"
"62","IITA-TMS-IBA050128"
"63","IITA-TMS-IBA071313"
"64","IITA-TMS-IBA30572"
"65","IITA-TMS-IBA082418"
"66","IITA-TMS-IBA011663"
"67","IITA-TMS-IBA011412"
"68","IITA-TMS-MM990214"
"69","IITA-TMS-IBA085006"
"70","IITA-TMS-IBA011368"
"71","IITA-TMS-IBA990304"
"72","IITA-TMS-IBA070808"
"73","IITA-TMS-IBA082993"
"74","IITA-TMS-IBA982101"
"75","IITA-TMS-IBA061635"
"76","IITA-TMS-IBA051814"
"77","SIMONYE"
"78","IITA-TMS-IBA020510"
"79","IITA-TMS-IBA090144"
"80","IITA-TMS-IBA070910"
"81","IITA-TMS-IBA071378"
"82","IITA-TMS-IBA083580"
"83","TMS13F1053P0015"
"84","TMS13F1053P0010"
"85","TMS13F1343P0022"
"86","TMS13F1088P0007"
"87",""
"88","TMS13F1153P0001"
"89","TMS13F1343P0002"
"90","TMS13F1160P0004"
"91","IBA000070"
"92","NR130124"
