"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","A chromometer value of fresh root|CO_334:0002066","B chromometer value of fresh root|CO_334:0002064","L chromometer of fresh root|CO_334:0002065","apical pubescence visual rating 0-2|CO_334:0000309","branching level counting|CO_334:0000079","branching level counting|month 6|COMP:0000151","cassava bacterial blight incidence 3-month evaluation|CO_334:0000178","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","cassava mosaic disease incidence 1-month evaluation|CO_334:0000195","cassava mosaic disease incidence 3-month evaluation|CO_334:0000196","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","cassava mosaic disease severity 3-month evaluation|CO_334:0000192","central leaf shape visual rating 1-10|CO_334:0000119","dry matter content by specific gravity method|CO_334:0000160","dry matter content percentage|CO_334:0000092","dry matter visual rating 1-3|CO_334:0002012","dry yield|CO_334:0000014","ease of peeling root cortex visual rating 1-3|CO_334:0000308","first apical branch height measurement in cm|CO_334:0000106","first apical branch height measurement in cm|month 6|COMP:0000083","first fully expanded leaf color visual rating 1-9|CO_334:0000102","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","harvest index variable|CO_334:0000015","initial vigor assessment 1-7|CO_334:0000009","petiole color visual rating 1-9|CO_334:0000023","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height measurement in cm|month 6|COMP:0000081","plant height measurement in cm|month 9|COMP:0000082","plant shape visual assessment 1-4|CO_334:0000264","plant stands harvested counting|CO_334:0000010","proportion lodged plants in percentage|CO_334:0000094","root neck length visual rating 0-7|CO_334:0000022","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","specific gravity|CO_334:0000163","sprout count at one-month|CO_334:0000213","sprout count at three-month|CO_334:0000214","sprouting proportion|CO_334:0000008","staygreen visual scale 1-9|CO_334:0000224","stem diameter measurement in cm|month 6|COMP:0000130","storage root cortex color visual rating 1-4|CO_334:0000115","storage root periderm color visual rating 1-4|CO_334:0000064","storage root pulp color visual rating 1-3|CO_334:0000021","storage root shape visual rating 1-6|CO_334:0000020","storage root size visual rating 1-7|CO_334:0000019","top yield|CO_334:0000017","total carotenoid by chart 1-8|CO_334:0000161","unexpanded apical leaf color visual rating 1-9|CO_334:0000101","yield visual rating 1-3|CO_334:0002011","notes"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4412088","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_1021","1","52","1021","52","20","check","","","","","","","","","","","0.7","14.0","80.5","1","","","0.4","2","0.0","0.0","1","1","5","","42.0","","4.7","1","","","5","11.3","7.1","5.7","0.4","5","5","","","","","","5","","3","21","","","0","","5","5","1.0","","","1","3","1","2","5","14.2","1","7",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411471","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_1055","1","53","1055","53","15","check","","","","","","","","","","","0.6","16.2","87.1","0","","","0.4","3","0.0","0.0","1","1","5","","34.3","","3.7","1","","","5","10.7","7.9","5.4","0.4","7","7","","","","","","5","","3","15","","","5","","5","5","1.0","","","1","3","1","2","5","15.8","1","7",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411892","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_117","1","6","117","6","4","check","","","","","","","","","","","0.5","15.0","89.2","0","","","1.0","3","0.0","0.0","1","1","5","","31.0","","9.2","1","","","5","29.8","14.0","14.9","0.5","3","7","","","","","","5","","3","26","","","0","","4","4","0.8","","","1","1","1","2","7","28.0","1","7",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411606","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_168","1","9","168","9","8","check","","","","","","","","","","","0.1","17.9","88.8","0","","","1.0","2","0.0","0.0","1","1","5","","38.7","","10.7","1","","","5","27.7","6.8","13.9","0.7","5","7","","","","","","5","","3","62","","","0","","5","5","1.0","","","1","3","1","2","3","13.6","1","5",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411961","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_237","1","12","237","12","4","check","","","","","","","","","","","0.7","19.4","92.2","1","","","0.6","2","1.0","1.0","3","4","5","","37.7","","9.4","1","","","3","25.0","12.3","12.5","0.5","5","8","","","","","","5","","3","46","","","0","","5","5","1.0","","","1","2","1","2","5","24.5","1","5",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4410939","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_244","1","13","244","13","4","check","","","","","","","","","","","","","","2","","","1.0","2","0.0","0.0","1","1","5","","","","","3","","","5","24.9","8.3","12.5","0.6","3","7","","","","","","2","","3","25","","","","","2","2","0.4","","","2","3","1","2","5","16.5","1","7",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411776","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_318","1","16","318","16","3","check","","","","","","","","","","","0.2","14.8","89.5","0","","","1.0","2","0.0","0.0","1","1","5","","41.7","","9.7","1","","","5","23.2","3.9","11.6","0.7","3","7","","","","","","5","","3","46","","","0","","5","5","1.0","","","1","3","1","2","5","7.8","1","5",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411460","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_353","1","18","353","18","8","check","","","","","","","","","","","-0.2","16.6","88.8","2","","","0.8","2","0.0","0.0","1","1","5","","39.7","","8.8","1","","","3","22.1","6.5","11.1","0.6","7","8","","","","","","5","","3","26","","","3","","5","4","1.0","","","1","2","1","1","5","12.9","1","5",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411722","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_38","1","2","38","2","3","check","","","","","","","","","","","-0.3","16.4","90.5","0","","","1.0","2","0.0","0.0","1","1","5","","40.5","","15.5","1","","","5","38.3","15.4","19.2","0.6","5","5","","","","","","5","","3","47","","","0","","4","4","0.8","","","1","3","1","2","5","30.7","1","5",""," (Operator: @mahmud, Time: )"
"2021","162","IITA","IITA cassava breeding program, Ibadan, Nigeria","10446","21.GS.C5.CE.1600.IB","Clonal evaluation trial using 1600 clones from Cycle 5 at Ibadan in 2021 breeding season","Augmented","1","2.5","0.08","no","no","2021-November-16","2022-September-16","3","Ibadan","1936","IITA-TMS-IBA000070","","plot","4411129","2022-21.GS.C5.CE.1600.IB-rep1-IITA-TMS-IBA000070_400","1","20","400","20","1","check","","","","","","","","","","","0.1","24.3","89.0","0","","","1.0","2","0.0","0.0","1","1","5","","43.6","","9.3","1","","","5","21.3","4.3","10.7","0.7","5","8","","","","","","5","","3","49","","","2","","5","5","1.0","","","1","1","1","2","3","8.6","1","5",""," (Operator: @mahmud, Time: )"
