plot_name,accession,plot_number,block,row
21.GS.C6.SN.Student2.IB-plant34-TMS21F1975P0034,TMS21F1975P0034,34,1,7
21.GS.C6.SN.Student2.IB-plant73-TMS21F1975P0073,TMS21F1975P0073,73,1,8
21.GS.C6.SN.Student2.IB-plant91-TMS21F1975P0091,TMS21F1975P0091,91,1,8
21.GS.C6.SN.Student2.IB-plant125-TMS21F1976P0008,TMS21F1976P0008,125,1,10
21.GS.C6.SN.Student2.IB-plant152-TMS21F1978P0004,TMS21F1978P0004,152,1,10
21.GS.C6.SN.Student2.IB-plant171-TMS21F1979P0014,TMS21F1979P0014,171,1,10
21.GS.C6.SN.Student2.IB-plant181-TMS21F1979P0024,TMS21F1979P0024,181,1,11
21.GS.C6.SN.Student2.IB-plant216-TMS21F1982P0005,TMS21F1982P0005,216,1,11
21.GS.C6.SN.Student2.IB-plant218-TMS21F1982P0007,TMS21F1982P0007,218,1,11
21.GS.C6.SN.Student2.IB-plant221-TMS21F1982P0010,TMS21F1982P0010,221,1,11
21.GS.C6.SN.Student2.IB-plant232-TMS21F1982P0021,TMS21F1982P0021,232,1,11
21.GS.C6.SN.Student2.IB-plant237-TMS21F1983P0003,TMS21F1983P0003,237,1,11
21.GS.C6.SN.Student2.IB-plant259-TMS21F1985P0001,TMS21F1985P0001,259,1,12
21.GS.C6.SN.Student2.IB-plant275-TMS21F1987P0004,TMS21F1987P0004,275,1,12
21.GS.C6.SN.Student2.IB-plant280-TMS21F1987P0009,TMS21F1987P0009,280,1,12
21.GS.C6.SN.Student2.IB-plant286-TMS21F1989P0002,TMS21F1989P0002,286,1,12
21.GS.C6.SN.Student2.IB-plant290-TMS21F1990P0001,TMS21F1990P0001,290,1,12
21.GS.C6.SN.Student2.IB-plant294-TMS21F1991P0001,TMS21F1991P0001,294,1,12
21.GS.C6.SN.Student2.IB-plant298-TMS21F1991P0005,TMS21F1991P0005,298,1,12
21.GS.C6.SN.Student2.IB-plant332-TMS21F1996P0010,TMS21F1996P0010,332,1,13
21.GS.C6.SN.Student2.IB-plant340-TMS21F1996P0018,TMS21F1996P0018,340,1,13
21.GS.C6.SN.Student2.IB-plant345-TMS21F1997P0004,TMS21F1997P0004,345,1,13
21.GS.C6.SN.Student2.IB-plant346-TMS21F1997P0005,TMS21F1997P0005,346,1,13
21.GS.C6.SN.Student2.IB-plant378-TMS21F2002P0002,TMS21F2002P0002,378,1,13
21.GS.C6.SN.Student2.IB-plant386-TMS21F2002P0010,TMS21F2002P0010,386,1,13
21.GS.C6.SN.Student2.IB-plant394-TMS21F2003P0003,TMS21F2003P0003,394,1,13
21.GS.C6.SN.Student2.IB-plant396-TMS21F2003P0005,TMS21F2003P0005,396,1,13
21.GS.C6.SN.Student2.IB-plant406-TMS21F2006P0001,TMS21F2006P0001,406,1,14
21.GS.C6.SN.Student2.IB-plant455-TMS21F2011P0002,TMS21F2011P0002,455,1,14
21.GS.C6.SN.Student2.IB-plant469-TMS21F2012P0012,TMS21F2012P0012,469,1,14
21.GS.C6.SN.Student2.IB-plant517-TMS21F2014P0006,TMS21F2014P0006,517,1,15
21.GS.C6.SN.Student2.IB-plant523-TMS21F2014P0012,TMS21F2014P0012,523,1,15
21.GS.C6.SN.Student2.IB-plant535-TMS21F2015P0001,TMS21F2015P0001,535,1,15
21.GS.C6.SN.Student2.IB-plant541-TMS21F2016P0005,TMS21F2016P0005,541,1,15
21.GS.C6.SN.Student2.IB-plant550-TMS21F2016P0014,TMS21F2016P0014,550,1,15
21.GS.C6.SN.Student2.IB-plant559-TMS21F2016P0023,TMS21F2016P0023,559,1,16
21.GS.C6.SN.Student2.IB-plant565-TMS21F2016P0029,TMS21F2016P0029,565,1,16
21.GS.C6.SN.Student2.IB-plant591-TMS21F2019P0011,TMS21F2019P0011,591,1,16
21.GS.C6.SN.Student2.IB-plant611-TMS21F2020P0011,TMS21F2020P0011,611,1,16
21.GS.C6.SN.Student2.IB-plant633-TMS21F2028P0002,TMS21F2028P0002,633,2,15
21.GS.C6.SN.Student2.IB-plant637-TMS21F2030P0002,TMS21F2030P0002,637,2,15
21.GS.C6.SN.Student2.IB-plant643-TMS21F2030P0008,TMS21F2030P0008,643,2,15
21.GS.C6.SN.Student2.IB-plant686-TMS21F2031P0037,TMS21F2031P0037,686,2,15
21.GS.C6.SN.Student2.IB-plant700-TMS21F2032P0003,TMS21F2032P0003,700,2,15
21.GS.C6.SN.Student2.IB-plant719-TMS21F2032P0022,TMS21F2032P0022,719,2,14
21.GS.C6.SN.Student2.IB-plant723-TMS21F2033P0002,TMS21F2033P0002,723,2,14
21.GS.C6.SN.Student2.IB-plant746-TMS21F2037P0001,TMS21F2037P0001,746,2,14
21.GS.C6.SN.Student2.IB-plant753-TMS21F2038P0006,TMS21F2038P0006,753,2,14
21.GS.C6.SN.Student2.IB-plant778-TMS21F2039P0003,TMS21F2039P0003,778,2,14
21.GS.C6.SN.Student2.IB-plant805-TMS21F2041P0010,TMS21F2041P0010,805,2,13
21.GS.C6.SN.Student2.IB-plant809-TMS21F2042P0003,TMS21F2042P0003,809,2,13
21.GS.C6.SN.Student2.IB-plant828-TMS21F2044P0010,TMS21F2044P0010,828,2,13
21.GS.C6.SN.Student2.IB-plant862-TMS21F2045P0008,TMS21F2045P0008,862,2,12
