"","accession_name","X","plot_name","alt_name","plot_number","stem_diam","branch_shape","branch_type","block","row_dir","row","plant_height","broken_stem","cmd","note","genotyped","female.parent.accession","male.parent.accession","type"
"1","TMS21F1975P0001",1,"21.GS.C6.SN.Student2.IB-plant1-TMS21F1975P0001","",1,18.58," Compact ","2",1,"down",7,73,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"2","TMS21F1975P0002",2,"21.GS.C6.SN.Student2.IB-plant2-TMS21F1975P0002","",2,11.54,"Cylindrical ",NA,1,"down",7,70,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"3","TMS21F1975P0003",3,"21.GS.C6.SN.Student2.IB-plant3-TMS21F1975P0003","",3,25.09," Compact ","3",1,"down",7,112,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"4","TMS21F1975P0004",4,"21.GS.C6.SN.Student2.IB-plant4-TMS21F1975P0004","",4,15.23,"Cylindrical ",NA,1,"down",7,86,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"5","TMS21F1975P0005",5,"21.GS.C6.SN.Student2.IB-plant5-TMS21F1975P0005","",5,24.17," Compact ","3",1,"down",7,126,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"6","TMS21F1975P0006",6,"21.GS.C6.SN.Student2.IB-plant6-TMS21F1975P0006","",6,15.18,"Cylindrical ",NA,1,"down",7,106,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"7","TMS21F1975P0007",7,"21.GS.C6.SN.Student2.IB-plant7-TMS21F1975P0007","",7,22.63," Compact ","2",1,"down",7,112,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"8","TMS21F1975P0008",8,"21.GS.C6.SN.Student2.IB-plant8-TMS21F1975P0008","",8,21.79," Compact ","3",1,"down",7,118,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"9","TMS21F1975P0009",9,"21.GS.C6.SN.Student2.IB-plant9-TMS21F1975P0009","",9,21.84," Compact ","3",1,"down",7,100,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"10","TMS21F1975P0010",10,"21.GS.C6.SN.Student2.IB-plant10-TMS21F1975P0010","",10,18.1," Compact ","3",1,"down",7,80,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"11","TMS21F1975P0011",11,"21.GS.C6.SN.Student2.IB-plant11-TMS21F1975P0011","",11,17.05,"Cylindrical ",NA,1,"down",7,86,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"12","TMS21F1975P0012",12,"21.GS.C6.SN.Student2.IB-plant12-TMS21F1975P0012","",12,21.13," Compact ","3",1,"down",7,89,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"13","TMS21F1975P0013",13,"21.GS.C6.SN.Student2.IB-plant13-TMS21F1975P0013","",13,16.29,"Cylindrical ",NA,1,"down",7,85,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"14","TMS21F1975P0014",14,"21.GS.C6.SN.Student2.IB-plant14-TMS21F1975P0014","",14,21.72,"Cylindrical ",NA,1,"down",7,99,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"15","TMS21F1975P0015",15,"21.GS.C6.SN.Student2.IB-plant15-TMS21F1975P0015","",15,24.85," Compact ","3",1,"down",7,113,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"16","TMS21F1975P0016",16,"21.GS.C6.SN.Student2.IB-plant16-TMS21F1975P0016","",16,14,"Cylindrical ",NA,1,"down",7,72,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"17","TMS21F1975P0017",17,"21.GS.C6.SN.Student2.IB-plant17-TMS21F1975P0017","",17,10.93,"Cylindrical ",NA,1,"down",7,72,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"18","TMS21F1975P0018",18,"21.GS.C6.SN.Student2.IB-plant18-TMS21F1975P0018","",18,22.75," Compact ","2",1,"down",7,119,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"19","TMS21F1975P0019",19,"21.GS.C6.SN.Student2.IB-plant19-TMS21F1975P0019","",19,18.28,"Cylindrical ",NA,1,"down",7,103,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"20","TMS21F1975P0020",20,"21.GS.C6.SN.Student2.IB-plant20-TMS21F1975P0020","",20,17.73," Compact ","2",1,"down",7,90,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"21","TMS21F1975P0021",21,"21.GS.C6.SN.Student2.IB-plant21-TMS21F1975P0021","",21,16.48,"Cylindrical ",NA,1,"down",7,93,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"22","TMS21F1975P0022",22,"21.GS.C6.SN.Student2.IB-plant22-TMS21F1975P0022","",22,22.11," Compact ","2",1,"down",7,88,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"23","TMS21F1975P0023",23,"21.GS.C6.SN.Student2.IB-plant23-TMS21F1975P0023","",23,23.07," Umbrella ","B",1,"down",7,100,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"24","TMS21F1975P0024",24,"21.GS.C6.SN.Student2.IB-plant24-TMS21F1975P0024","",24,16.5," Compact ","2",1,"down",7,95.5,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"25","TMS21F1975P0025",25,"21.GS.C6.SN.Student2.IB-plant25-TMS21F1975P0025","",25,20.16," Compact ","2",1,"down",7,110,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"26","TMS21F1975P0026",26,"21.GS.C6.SN.Student2.IB-plant26-TMS21F1975P0026","",26,13.55,"Cylindrical ",NA,1,"down",7,67.5,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"27","TMS21F1975P0027",27,"21.GS.C6.SN.Student2.IB-plant27-TMS21F1975P0027","",27,16.59," Compact ","3",1,"down",7,85,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"28","TMS21F1975P0028",28,"21.GS.C6.SN.Student2.IB-plant28-TMS21F1975P0028","",28,16.23,"Cylindrical ",NA,1,"down",7,70.5,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"29","TMS21F1975P0029",29,"21.GS.C6.SN.Student2.IB-plant29-TMS21F1975P0029","",29,16.39,"Cylindrical ",NA,1,"down",7,61,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"30","TMS21F1975P0030",30,"21.GS.C6.SN.Student2.IB-plant30-TMS21F1975P0030","",30,16.47,"Cylindrical ",NA,1,"down",7,60,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"31","TMS21F1975P0031",31,"21.GS.C6.SN.Student2.IB-plant31-TMS21F1975P0031","",31,13.6,"Cylindrical ",NA,1,"down",7,55,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"32","TMS21F1975P0032",32,"21.GS.C6.SN.Student2.IB-plant32-TMS21F1975P0032","",32,12.99,"Cylindrical ",NA,1,"down",7,52.5,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"33","TMS21F1975P0033",33,"21.GS.C6.SN.Student2.IB-plant33-TMS21F1975P0033","",33,15.16,"Cylindrical ",NA,1,"down",7,59,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"34","TMS21F1975P0034",34,"21.GS.C6.SN.Student2.IB-plant34-TMS21F1975P0034","",34,9.53,"Cylindrical ",NA,1,"down",7,39.8,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"35","TMS21F1975P0035",35,"21.GS.C6.SN.Student2.IB-plant35-TMS21F1975P0035","",35,10.63,"Cylindrical ",NA,1,"down",7,40,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"36","TMS21F1975P0036",36,"21.GS.C6.SN.Student2.IB-plant36-TMS21F1975P0036","",36,12.29,"Cylindrical ",NA,1,"down",7,39,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"37","TMS21F1975P0037",37,"21.GS.C6.SN.Student2.IB-plant37-TMS21F1975P0037","",37,NA,"","",1,"down",7,6,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"38","TMS21F1975P0038",38,"21.GS.C6.SN.Student2.IB-plant38-TMS21F1975P0038","",38,12.95,"Cylindrical ",NA,1,"down",7,38.2,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"39","TMS21F1975P0039",39,"21.GS.C6.SN.Student2.IB-plant39-TMS21F1975P0039","",39,15.04,"Cylindrical ",NA,1,"down",7,35,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"40","TMS21F1975P0040",40,"21.GS.C6.SN.Student2.IB-plant40-TMS21F1975P0040","",40,10.98,"Cylindrical ",NA,1,"down",7,35.5,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"41","TMS21F1975P0041",41,"21.GS.C6.SN.Student2.IB-plant41-TMS21F1975P0041","",41,10.97,"Cylindrical ",NA,1,"down",7,31.8,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"42","TMS21F1975P0042",42,"21.GS.C6.SN.Student2.IB-plant42-TMS21F1975P0042","",42,10.57,"Cylindrical ",NA,1,"down",7,33.7,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"43","TMS21F1975P0043",43,"21.GS.C6.SN.Student2.IB-plant43-TMS21F1975P0043","",43,13.18," Compact ","2",1,"down",7,29,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"44","TMS21F1975P0044",44,"21.GS.C6.SN.Student2.IB-plant44-TMS21F1975P0044","",44,15.2,"Cylindrical ",NA,1,"up",8,36,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"45","TMS21F1975P0045",45,"21.GS.C6.SN.Student2.IB-plant45-TMS21F1975P0045","",45,17.35,"Cylindrical ",NA,1,"up",8,43.2,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"46","TMS21F1975P0046",46,"21.GS.C6.SN.Student2.IB-plant46-TMS21F1975P0046","",46,13.46,"Cylindrical ",NA,1,"up",8,49,NA,NA,"",FALSE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
"47","TMS21F1975P0047",47,"21.GS.C6.SN.Student2.IB-plant47-TMS21F1975P0047","",47,13.51,"Cylindrical ",NA,1,"up",8,42,NA,NA,"",TRUE,"TMS15F1329P0005","TMS14F1285P0006","biparental"
