plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2021-20.GS.C3.UYT.28.UB-rep1-TMS13F1304P0003_101,1928036,TMS13F1304P0003,101,1,,1,1,1
2021-20.GS.C3.UYT.28.UB-rep1-TMS16F1577P0017_102,1927993,TMS16F1577P0017,102,1,,1,1,2
2021-20.GS.C3.UYT.28.UB-rep1-TMS16F1522P0022_103,1928046,TMS16F1522P0022,103,1,,1,1,3
2021-20.GS.C3.UYT.28.UB-rep1-TMS16F1155P0004_104,1928004,TMS16F1155P0004,104,1,,1,1,4
2021-20.GS.C3.UYT.28.UB-rep1-IITA-TMS-IBA980581_105,1928021,IITA-TMS-IBA980581,105,1,1,1,1,5
2021-20.GS.C3.UYT.28.UB-rep1-TMS15F1142P0008_106,1928066,TMS15F1142P0008,106,1,,1,1,6
2021-20.GS.C3.UYT.28.UB-rep1-TMS16F1371P0011_107,1928009,TMS16F1371P0011,107,1,,1,1,7
2021-20.GS.C3.UYT.28.UB-rep1-TMS13F2207P0001_108,1928064,TMS13F2207P0001,108,2,,1,2,7
2021-20.GS.C3.UYT.28.UB-rep1-IITA-TMS-IBA070593_109,1928072,IITA-TMS-IBA070593,109,2,1,1,2,6
2021-20.GS.C3.UYT.28.UB-rep1-TMS16F1085P0002_110,1928062,TMS16F1085P0002,110,2,,1,2,5
2021-20.GS.C3.UYT.28.UB-rep1-TMS14F1285P0006_111,1927994,TMS14F1285P0006,111,2,,1,2,4
2021-20.GS.C3.UYT.28.UB-rep1-IITA-TMS-IBA961632_112,1928027,IITA-TMS-IBA961632,112,2,1,1,2,3
2021-20.GS.C3.UYT.28.UB-rep1-TMS14F1035P0004_113,1928001,TMS14F1035P0004,113,2,,1,2,2
2021-20.GS.C3.UYT.28.UB-rep1-IITA-TMS-IBA982101_114,1927998,IITA-TMS-IBA982101,114,2,1,1,2,1
2021-20.GS.C3.UYT.28.UB-rep1-TMS16F1507P0019_115,1928074,TMS16F1507P0019,115,3,,1,3,1
2021-20.GS.C3.UYT.28.UB-rep1-TMS16F1589P0001_116,1928006,TMS16F1589P0001,116,3,,1,3,2
2021-20.GS.C3.UYT.28.UB-rep1-TMS14F1016P0006_117,1927996,TMS14F1016P0006,117,3,,1,3,3
2021-20.GS.C3.UYT.28.UB-rep1-IITA-TMS-IBA30572_118,1928035,IITA-TMS-IBA30572,118,3,1,1,3,4
