plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-IITA-TMS-IKN130010_101,1880465,IITA-TMS-IKN130010,1001,1,1,1,1,1
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1028P0001_102,1880440,TMS17F1028P0001,1002,1,,1,1,2
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1375P0014_103,1880383,TMS17F1375P0014,1003,1,,1,1,3
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1470P0013_104,1880429,TMS17F1470P0013,1004,1,,1,1,4
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1428P0024_105,1880384,TMS17F1428P0024,1005,1,,1,1,5
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1470P0018_106,1880428,TMS17F1470P0018,1006,1,,1,1,6
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1467P0009_107,1880318,TMS17F1467P0009,1007,1,,1,1,7
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1477P0006_108,1880313,TMS17F1477P0006,1008,1,,1,1,8
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1133P0006_109,1880341,TMS17F1133P0006,1009,1,,1,2,8
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1411P0022_110,1880444,TMS17F1411P0022,1010,1,,1,2,7
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMEB419_111,1880308,TMEB419,1011,2,1,1,2,6
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1377P0030_112,1880319,TMS17F1377P0030,1012,2,,1,2,5
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1418P0008_113,1880371,TMS17F1418P0008,1013,2,,1,2,4
2021-20.GS.C4.PYT.80.SETA.CB.UB-rep1-TMS17F1478P0034_114,1880402,TMS17F1478P0034,1014,2,,1,2,3
