plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1163P0020_101,TMS18F1163P0020,101,1,,1,1,1
2021-20.GS.C4B.AYT.42.UB-rep1-IITA-TMS-IBA980581_102,IITA-TMS-IBA980581,102,1,1,1,1,2
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1015P0015_103,TMS18F1015P0015,103,1,,1,1,3
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1217P0019_104,TMS18F1217P0019,104,1,,1,1,4
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1308P0066_105,TMS18F1308P0066,105,1,,1,1,5
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1307P0059_106,TMS18F1307P0059,106,1,,1,1,6
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1033P0018_107,TMS18F1033P0018,107,1,,1,1,7
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1299P0012_108,TMS18F1299P0012,108,1,,1,2,7
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1298P0013_109,TMS18F1298P0013,109,1,,1,2,6
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1297P0008_110,TMS18F1297P0008,110,1,,1,2,5
2021-20.GS.C4B.AYT.42.UB-rep1-TMS13F1053P0010_111,TMS13F1053P0010,111,1,1,1,2,4
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1307P0038_112,TMS18F1307P0038,112,1,,1,2,3
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1279P0006_113,TMS18F1279P0006,113,1,,1,2,2
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1159P0011_114,TMS18F1159P0011,114,1,,1,2,1
2021-20.GS.C4B.AYT.42.UB-rep1-IITA-TMS-IBA30572_115,IITA-TMS-IBA30572,115,1,1,1,3,1
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1108P0012_116,TMS18F1108P0012,116,1,,1,3,2
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1059P0013_117,TMS18F1059P0013,117,1,,1,3,3
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1279P0008_118,TMS18F1279P0008,118,1,,1,3,4
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1275P0004_119,TMS18F1275P0004,119,1,,1,3,5
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1299P0027_120,TMS18F1299P0027,120,1,,1,3,6
2021-20.GS.C4B.AYT.42.UB-rep1-TMS13F1160P0004_121,TMS13F1160P0004,121,1,1,1,3,7
2021-20.GS.C4B.AYT.42.UB-rep1-TMS15F1100P0005_122,TMS15F1100P0005,122,1,,1,4,7
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1286P0003_123,TMS18F1286P0003,123,1,,1,4,6
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1047P0024_124,TMS18F1047P0024,124,1,,1,4,5
2021-20.GS.C4B.AYT.42.UB-rep1-TMS14F1285P0017_125,TMS14F1285P0017,125,1,1,1,4,4
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1278P0024_126,TMS18F1278P0024,126,1,,1,4,3
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1269P0003_127,TMS18F1269P0003,127,1,,1,4,2
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1092P0007_128,TMS18F1092P0007,128,1,,1,4,1
2021-20.GS.C4B.AYT.42.UB-rep1-IITA-TMS-IBA000070_129,IITA-TMS-IBA000070,129,1,1,1,5,1
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1288P0003_130,TMS18F1288P0003,130,1,,1,5,2
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1288P0021_131,TMS18F1288P0021,131,1,,1,5,3
2021-20.GS.C4B.AYT.42.UB-rep1-TMS14F1035P0004_132,TMS14F1035P0004,132,1,1,1,5,4
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1294P0011_133,TMS18F1294P0011,133,1,,1,5,5
2021-20.GS.C4B.AYT.42.UB-rep1-TMS14F1310P0015_134,TMS14F1310P0015,134,1,1,1,5,6
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1298P0026_135,TMS18F1298P0026,135,1,,1,5,7
2021-20.GS.C4B.AYT.42.UB-rep1-TMEB419_136,TMEB419,136,1,1,1,6,7
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1161P0009_137,TMS18F1161P0009,137,1,,1,6,6
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1289P0004_138,TMS18F1289P0004,138,1,,1,6,5
2021-20.GS.C4B.AYT.42.UB-rep1-TMS18F1173P0009_139,TMS18F1173P0009,139,1,,1,6,4
2021-20.GS.C4B.AYT.42.UB-rep1-TMS13F1343P0044_140,TMS13F1343P0044,140,1,1,1,6,3
