"plant.architecture","Stem.Diameter.Rep1","branch_habit","low.branching","Stem.Diameter.Rep2","branch_levels","flowering","Stem.Diameter.Rep3","27643909","28103607","29449366","31196826","32865115","34462062","35808218","37123583","38699792","39131171"
"","","","","","","","",1,1,1,1,1,1,1,1,1,1
"","","","","","","","",112.6,117.4,125.19,130.7,136.4,143,150.46,155.2,156.8,157.2
"cylindrical","27.27","1","no","21.49","1","","20.6",0,0,1,1,1,0,0,0,0,0
"","22.48","3","yes","16.38","2","","17.57",1,1,1,2,2,2,1,0,1,1
"","17.86","3","","20.6",NA,"","18.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","19.64","3","no","25.05","1","","22.44",0,0,0,1,1,1,2,1,2,2
"compact","23.58","3","no","20.59","2","","18.67",1,1,1,1,1,1,1,1,0,0
"compact","23.58","3","no","20.59","2","","18.67",1,1,1,1,1,1,1,1,0,0
"","31.96","3","no","24.41","3","","37.6",0,0,0,1,0,0,0,1,1,1
"compact","20.38","2","","19.3",NA,"present","27.94",1,1,1,1,1,1,0,0,0,0
"cylindrical","18.84","1","no","20.62","1","","22.62",0,0,0,1,1,2,2,2,1,1
"compact","20.8","3","no","19.69","2","present","14.08",0,0,1,2,2,2,2,1,2,2
"open","19.4","2","no","18.24","2","present","25.15",0,0,0,0,0,1,1,1,1,1
"compact","21.09","2","no","18.6","2","present","16.54",1,0,0,0,0,0,0,0,0,0
"","16.28","3","","13.63","1","","22.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","22.61","2","no","19.24","3","","23.34",0,0,0,0,0,1,1,1,1,1
"cylindrical","15.58","1","yes","15.36","1","","15.77",0,1,2,2,2,2,2,2,2,2
"","21.4","2","no","15.24","3","","23.39",0,0,1,1,1,1,1,1,1,1
"cylindrical","16.95","1","yes","20","1","absent","21.02",0,0,0,0,0,0,0,1,1,1
"compact","14.32","2","no","17.62","2","present","16.02",0,0,0,0,0,0,0,0,0,0
"compact","20.85","3","no","18.6","2","present","14.94",2,2,2,2,1,1,1,1,0,0
"cylindrical","25.71","1","yes","16.71","1","absent","18.23",0,0,0,0,2,1,1,1,1,1
"compact","17.58","2","yes","17.62","2","absent","16.65",2,2,2,2,2,2,2,1,2,2
"compact","22.8","2","no","18.38","3","","23.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","21.37","2","yes","23.48","2","absent","20.09",1,1,1,1,1,1,1,2,2,2
"cylindrical","14.12","1","no","17.37","1","absent","17.09",0,0,0,0,0,1,1,2,2,2
"cylindrical","24.92","1","no","17.06","1","absent","19.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","30.7","3","no","25.31","1","","25.23",0,0,1,1,1,1,1,1,1,1
"compact","16.92","2","no","16.82","2","present","18.42",0,0,0,0,0,0,0,0,0,1
"umbrella","19.57","2","no","18.93","1","","25.95",1,1,1,1,1,2,2,2,1,1
"cylindrical","19.24",NA,"no","16.74",NA,"absent","12.61",0,0,0,0,0,1,2,2,2,2
"cylindrical","17.15",NA,"yes","17.87",NA,"absent","18.7",1,1,1,1,1,1,1,1,1,1
"compact","21.31","3","yes","13.29","2","present","16.51",1,1,2,1,1,0,0,0,0,0
"umbrella","28.7","3","yes","16.3","2","","13.42",0,0,1,1,1,1,1,1,2,2
"cylindrical","14.47",NA,"no","12.9",NA,"absent","14.03",0,0,0,0,0,1,1,1,1,1
