"candidate","conserved.count"
34240125,99
34462062,99
31172467,98
32476579,98
34737517,98
35808218,98
37269340,98
29598785,97
29944386,97
31196826,97
32865115,97
34031706,97
34737558,97
35611820,97
37370715,97
39131171,97
29423079,96
30009132,96
30140110,96
30312867,96
31748949,96
33788582,96
33945193,96
34843970,96
35045456,96
35204767,96
36159781,96
37123583,96
37863517,96
38699792,96
27643909,95
27918064,95
28103607,95
28662535,95
29449366,95
30140085,95
31815133,95
34195405,95
34514745,95
34584904,95
34584923,95
35626846,95
38763653,95
39162069,95
